 Hi! We're solving van der Pol using            4  processes.
  
   t     x1         x2
  1.0   0.850730   0.048487
  2.0   0.419524  -1.024423
  3.0  -1.451100  -1.777304
  4.0  -1.691172   0.466799
  5.0  -0.988425   1.027031
  6.0   1.019290   3.079819
  7.0   1.943785  -0.357963
  8.0   1.414181  -0.696413
  9.0   0.296968  -1.901456
 10.0  -1.975181  -0.522352
 11.0  -1.719206   0.528070
 12.0  -0.998037   1.027713
 13.0   1.005104   3.093047
 14.0   1.947127  -0.355475
 15.0   1.419707  -0.693031
 16.0   0.311903  -1.880116
 17.0  -1.970918  -0.555224
 18.0  -1.723375   0.525911
 19.0  -1.006133   1.019839
 20.0   0.980597   3.100298
 21.0   1.949920  -0.350993
 22.0   1.425176  -0.689616
 23.0   0.326685  -1.859010
 24.0  -1.966374  -0.589083
 25.0  -1.727527   0.523753
 26.0  -1.014168   1.012084
 27.0   0.956041   3.105702
 28.0   1.952677  -0.346391
 29.0   1.430617  -0.686237
 30.0   0.341302  -1.838192
 31.0  -1.961559  -0.623875
 32.0  -1.731661   0.521599
 33.0  -1.022142   1.004444
 34.0   0.931450   3.109294
 35.0   1.955396  -0.341662
 36.0   1.436032  -0.682894
 37.0   0.355754  -1.817664
 38.0  -1.956464  -0.659605
 39.0  -1.735779   0.519446
 40.0  -1.030056   0.996918
 41.0   0.906839   3.111111
 42.0   1.958078  -0.336801
 43.0   1.441420  -0.679586
 44.0   0.370046  -1.797426
 45.0  -1.951082  -0.696278
 46.0  -1.739879   0.517295
 47.0  -1.037911   0.989505
 48.0   0.882221   3.111196
 49.0   1.960721  -0.331804
 50.0   1.446783  -0.676313
 51.0   0.384179  -1.777476
 52.0  -1.945406  -0.733896
 53.0  -1.743963   0.515145
 54.0  -1.045708   0.982200
 55.0   0.857610   3.109594
 56.0   1.963323  -0.326663
 57.0   1.452120  -0.673075
 58.0   0.398155  -1.757815
 59.0  -1.939428  -0.772459
 60.0  -1.748029   0.512996
 61.0  -1.053447   0.975004
 62.0   0.833019   3.106354
 63.0   1.965885  -0.321373
 64.0   1.457431  -0.669870
 65.0   0.411978  -1.738441
 66.0  -1.933140  -0.811963
 67.0  -1.752079   0.510845
 68.0  -1.061130   0.967913
 69.0   0.808461   3.101529
 70.0   1.968403  -0.315928
 71.0   1.462717  -0.666698
 72.0   0.425648  -1.719353
 73.0  -1.926536  -0.852403
 74.0  -1.756111   0.508694
 75.0  -1.068757   0.960926
 76.0   0.783948   3.095171
 77.0   1.970878  -0.310321
 78.0   1.467978  -0.663558
 79.0   0.439168  -1.700550
 80.0  -1.919608  -0.893771
 81.0  -1.760126   0.506541
 82.0  -1.076330   0.954041
 83.0   0.759491   3.087337
 84.0   1.973308  -0.304546
 85.0   1.473215  -0.660450
 86.0   0.452541  -1.682030
 87.0  -1.912348  -0.936056
 88.0  -1.764125   0.504385
 89.0  -1.083848   0.947255
 90.0   0.735103   3.078085
 91.0   1.975691  -0.298595
 92.0   1.478427  -0.657373
 93.0   0.465768  -1.663790
 94.0  -1.904750  -0.979245
 95.0  -1.768106   0.502225
 96.0  -1.091314   0.940568
 97.0   0.710795   3.067474
 98.0   1.978027  -0.292462
 99.0   1.483615  -0.654327
100.0   0.478852  -1.645829
