  Residual norms for stokes_ solve.
  0 KSP Residual norm 0.60943 
  1 KSP Residual norm 0.404786 
  2 KSP Residual norm 0.389254 
  3 KSP Residual norm 0.33556 
  4 KSP Residual norm 0.0504043 
  5 KSP Residual norm 0.024972 
  6 KSP Residual norm 0.00958962 
  7 KSP Residual norm 0.00339562 
  8 KSP Residual norm 0.0012204 
  9 KSP Residual norm 0.000459188 
 10 KSP Residual norm 0.00017806 
 11 KSP Residual norm 6.31677e-05 
 12 KSP Residual norm 2.00232e-05 
 13 KSP Residual norm 7.4867e-06 
 14 KSP Residual norm 2.22398e-06 
Linear stokes_ solve converged due to CONVERGED_RTOL iterations 14
