  Residual norms for stokes_ solve.
  0 KSP Residual norm 1.415106368539e-01 
  1 KSP Residual norm 1.400940883855e-01 
  2 KSP Residual norm 1.378888975786e-01 
  3 KSP Residual norm 1.186604070209e-01 
  4 KSP Residual norm 1.028998751762e-01 
  5 KSP Residual norm 7.848909969551e-02 
  6 KSP Residual norm 5.447220914352e-02 
  7 KSP Residual norm 3.988770773413e-02 
  8 KSP Residual norm 3.363854861536e-02 
  9 KSP Residual norm 2.736827233823e-02 
 10 KSP Residual norm 1.165737217325e-02 
 11 KSP Residual norm 4.774812483753e-03 
 12 KSP Residual norm 3.000086313131e-03 
 13 KSP Residual norm 2.037587391559e-03 
 14 KSP Residual norm 1.568521310223e-03 
 15 KSP Residual norm 1.334625445379e-03 
 16 KSP Residual norm 1.090851737254e-03 
 17 KSP Residual norm 8.103224656843e-04 
 18 KSP Residual norm 5.102610507854e-04 
 19 KSP Residual norm 3.288211379908e-04 
 20 KSP Residual norm 2.728521747502e-04 
 21 KSP Residual norm 2.223350574525e-04 
 22 KSP Residual norm 1.673811400572e-04 
 23 KSP Residual norm 1.311135290276e-04 
 24 KSP Residual norm 7.772166545934e-05 
 25 KSP Residual norm 5.867750733525e-05 
 26 KSP Residual norm 4.630194799472e-05 
 27 KSP Residual norm 3.964093586415e-05 
 28 KSP Residual norm 3.056223609761e-05 
 29 KSP Residual norm 1.859145871820e-05 
 30 KSP Residual norm 1.193441010276e-05 
 31 KSP Residual norm 1.165803628044e-05 
 32 KSP Residual norm 1.141616465398e-05 
 33 KSP Residual norm 1.049268438209e-05 
 34 KSP Residual norm 8.497378403744e-06 
 35 KSP Residual norm 7.388268820294e-06 
 36 KSP Residual norm 5.336285891511e-06 
 37 KSP Residual norm 3.840054785874e-06 
 38 KSP Residual norm 2.395520205040e-06 
 39 KSP Residual norm 1.803336718072e-06 
 40 KSP Residual norm 1.575082118565e-06 
 41 KSP Residual norm 1.498075417723e-06 
 42 KSP Residual norm 1.421906839381e-06 
 43 KSP Residual norm 1.162676253678e-06 
