  Residual norms for stokes_ solve.
  0 KSP Residual norm 0.0221957 
  1 KSP Residual norm 0.00560206 
  2 KSP Residual norm 0.00418829 
  3 KSP Residual norm 0.00405949 
  4 KSP Residual norm 0.00274707 
  5 KSP Residual norm 0.00165006 
  6 KSP Residual norm 0.000652805 
  7 KSP Residual norm 0.000481844 
  8 KSP Residual norm 0.000312855 
  9 KSP Residual norm 0.000217507 
 10 KSP Residual norm 0.000176853 
 11 KSP Residual norm 0.000136575 
 12 KSP Residual norm 7.5976e-05 
 13 KSP Residual norm 9.70067e-05 
 14 KSP Residual norm 0.000112772 
 15 KSP Residual norm 8.02602e-05 
 16 KSP Residual norm 4.98782e-05 
 17 KSP Residual norm 1.53686e-05 
 18 KSP Residual norm 1.42465e-05 
 19 KSP Residual norm 1.70432e-05 
 20 KSP Residual norm 2.77866e-05 
 21 KSP Residual norm 2.57057e-05 
 22 KSP Residual norm 1.34637e-05 
 23 KSP Residual norm 1.19698e-05 
 24 KSP Residual norm 1.13968e-05 
 25 KSP Residual norm 5.80531e-06 
 26 KSP Residual norm 2.21233e-06 
 27 KSP Residual norm 1.44776e-06 
 28 KSP Residual norm 2.63384e-06 
 29 KSP Residual norm 2.6659e-06 
 30 KSP Residual norm 1.40985e-06 
 31 KSP Residual norm 5.79017e-07 
 32 KSP Residual norm 1.27601e-07 
 33 KSP Residual norm 1.09122e-07 
 34 KSP Residual norm 1.02809e-07 
 35 KSP Residual norm 1.22196e-07 
 36 KSP Residual norm 5.94741e-08 
 37 KSP Residual norm 4.88554e-08 
 38 KSP Residual norm 1.3736e-07 
 39 KSP Residual norm 4.76366e-08 
 40 KSP Residual norm 6.7767e-08 
 41 KSP Residual norm 1.7953e-07 
 42 KSP Residual norm 1.67954e-07 
 43 KSP Residual norm 1.26706e-07 
 44 KSP Residual norm 2.9094e-07 
 45 KSP Residual norm 3.35749e-07 
 46 KSP Residual norm 3.052e-07 
 47 KSP Residual norm 3.03812e-08 
 48 KSP Residual norm 9.98238e-09 
 49 KSP Residual norm 1.06518e-08 
 50 KSP Residual norm 4.02816e-08 
 51 KSP Residual norm 1.0887e-07 
 52 KSP Residual norm 1.3372e-07 
 53 KSP Residual norm 1.79315e-07 
 54 KSP Residual norm 1.70564e-07 
 55 KSP Residual norm 1.06329e-07 
 56 KSP Residual norm 6.58014e-08 
 57 KSP Residual norm 4.08531e-08 
 58 KSP Residual norm 3.73072e-08 
 59 KSP Residual norm 3.67559e-08 
 60 KSP Residual norm 1.11503e-08 
 61 KSP Residual norm 9.15983e-09 
 62 KSP Residual norm 8.774e-11 
4.7619e-02   2.2591e-03   7.1433e-05   2.3330e-03 
