    Linear solve converged due to CONVERGED_RTOL_NORMAL iterations 9, block 2
    Linear solve converged due to CONVERGED_RTOL_NORMAL iterations 9, block 0
    Linear solve converged due to CONVERGED_RTOL_NORMAL iterations 9, block 2
    Linear solve converged due to CONVERGED_RTOL_NORMAL iterations 9, block 0
    Linear solve converged due to CONVERGED_RTOL_NORMAL iterations 8, block 3
    Linear solve converged due to CONVERGED_RTOL_NORMAL iterations 9, block 3
    Linear solve converged due to CONVERGED_RTOL_NORMAL iterations 10, block 2
    Linear solve converged due to CONVERGED_RTOL_NORMAL iterations 8, block 2
    Linear solve converged due to CONVERGED_RTOL_NORMAL iterations 8, block 2
    Linear solve converged due to CONVERGED_RTOL_NORMAL iterations 9, block 1
    Linear solve converged due to CONVERGED_RTOL_NORMAL iterations 7, block 3
    Linear solve converged due to CONVERGED_RTOL_NORMAL iterations 9, block 1
    Linear solve converged due to CONVERGED_RTOL_NORMAL iterations 8, block 0
    Linear solve converged due to CONVERGED_RTOL_NORMAL iterations 9, block 2
    Linear solve converged due to CONVERGED_RTOL_NORMAL iterations 8, block 0
    Linear solve converged due to CONVERGED_RTOL_NORMAL iterations 9, block 2
    Linear solve converged due to CONVERGED_RTOL_NORMAL iterations 8, block 1
    Linear solve converged due to CONVERGED_RTOL_NORMAL iterations 9, block 1
    Linear solve converged due to CONVERGED_RTOL_NORMAL iterations 9, block 0
    Linear solve converged due to CONVERGED_RTOL_NORMAL iterations 8, block 3
    Linear solve converged due to CONVERGED_RTOL_NORMAL iterations 8, block 2
    Linear solve converged due to CONVERGED_RTOL_NORMAL iterations 9, block 1
    Linear solve converged due to CONVERGED_RTOL_NORMAL iterations 8, block 3
    Linear solve converged due to CONVERGED_RTOL_NORMAL iterations 9, block 1
Linear solve converged due to CONVERGED_RTOL iterations 24
Norm of error 0.00181297 iterations 24
