lambda: 2.777778 mu: 4.166667
  0 SNES Function norm 18.7531 
    0 KSP Residual norm 18.7531 
    1 KSP Residual norm 8.05256 
    2 KSP Residual norm 8.04786 
    3 KSP Residual norm 4.27617 
    4 KSP Residual norm 3.62967 
    5 KSP Residual norm 1.71735 
    6 KSP Residual norm 0.588593 
    7 KSP Residual norm 0.202214 
    8 KSP Residual norm 0.0806734 
    9 KSP Residual norm 0.0669857 
   10 KSP Residual norm 0.0623931 
   11 KSP Residual norm 0.0538008 
   12 KSP Residual norm 0.016186 
  1 SNES Function norm 10.4021 
    0 KSP Residual norm 10.4021 
    1 KSP Residual norm 3.42492 
    2 KSP Residual norm 2.21113 
    3 KSP Residual norm 0.950724 
    4 KSP Residual norm 0.760002 
    5 KSP Residual norm 0.306077 
    6 KSP Residual norm 0.23511 
    7 KSP Residual norm 0.127719 
    8 KSP Residual norm 0.118647 
    9 KSP Residual norm 0.0996564 
   10 KSP Residual norm 0.0379397 
   11 KSP Residual norm 0.0223836 
   12 KSP Residual norm 0.0181745 
   13 KSP Residual norm 0.0107089 
   14 KSP Residual norm 0.00616453 
  2 SNES Function norm 1.00734 
    0 KSP Residual norm 1.00734 
    1 KSP Residual norm 0.567055 
    2 KSP Residual norm 0.471574 
    3 KSP Residual norm 0.21098 
    4 KSP Residual norm 0.0997817 
    5 KSP Residual norm 0.0539412 
    6 KSP Residual norm 0.0336272 
    7 KSP Residual norm 0.0273344 
    8 KSP Residual norm 0.0236243 
    9 KSP Residual norm 0.0173613 
   10 KSP Residual norm 0.0124758 
   11 KSP Residual norm 0.00736043 
   12 KSP Residual norm 0.00236986 
   13 KSP Residual norm 0.000516888 
  3 SNES Function norm 0.0226603 
    0 KSP Residual norm 0.0226603 
    1 KSP Residual norm 0.0140148 
    2 KSP Residual norm 0.00726117 
    3 KSP Residual norm 0.00452695 
    4 KSP Residual norm 0.0023784 
    5 KSP Residual norm 0.00146327 
    6 KSP Residual norm 0.000756797 
    7 KSP Residual norm 0.000213157 
    8 KSP Residual norm 8.16907e-05 
    9 KSP Residual norm 7.00381e-05 
   10 KSP Residual norm 6.39694e-05 
   11 KSP Residual norm 6.06056e-05 
   12 KSP Residual norm 4.04842e-05 
   13 KSP Residual norm 3.12138e-05 
   14 KSP Residual norm 1.35566e-05 
  4 SNES Function norm 3.1216e-05 
    0 KSP Residual norm 3.1216e-05 
    1 KSP Residual norm 2.15107e-05 
    2 KSP Residual norm 1.60423e-05 
    3 KSP Residual norm 1.20373e-05 
    4 KSP Residual norm 8.97695e-06 
    5 KSP Residual norm 8.97147e-06 
    6 KSP Residual norm 8.91345e-06 
    7 KSP Residual norm 6.73704e-06 
    8 KSP Residual norm 4.19631e-06 
    9 KSP Residual norm 1.96953e-06 
   10 KSP Residual norm 1.11566e-06 
   11 KSP Residual norm 8.69919e-07 
   12 KSP Residual norm 7.22806e-07 
   13 KSP Residual norm 6.56733e-07 
   14 KSP Residual norm 5.76195e-07 
   15 KSP Residual norm 2.7379e-07 
   16 KSP Residual norm 1.51912e-07 
   17 KSP Residual norm 5.82847e-08 
   18 KSP Residual norm 8.38887e-09 
  5 SNES Function norm 8.34911e-09 
Number of SNES iterations = 5
