
---- Journal Bearing Problem SHB-----
mx: 8,  my: 12,  ecc: 0.1 

iter =   0, Function value 0., Residual: 1.11613 
iter =   0, Function value -0.148934, Residual: 0.469316 
iter =   1, Function value -0.171506, Residual: 0.308197 
iter =   2, Function value -0.175786, Residual: 0.149576 
iter =   3, Function value -0.177795, Residual: 0.132021 
iter =   4, Function value -0.179224, Residual: 0.102274 
iter =   5, Function value -0.180268, Residual: 0.0952942 
iter =   6, Function value -0.18104, Residual: 0.0751234 
iter =   7, Function value -0.181609, Residual: 0.0708626 
iter =   8, Function value -0.182034, Residual: 0.0567562 
iter =   9, Function value -0.182353, Residual: 0.0535245 
iter =  10, Function value -0.182596, Residual: 0.0437106 
iter =  11, Function value -0.182782, Residual: 0.0410071 
iter =  12, Function value -0.182926, Residual: 0.0339347 
iter =  13, Function value -0.183038, Residual: 0.03172 
iter =  14, Function value -0.183125, Residual: 0.0264225 
iter =  15, Function value -0.183193, Residual: 0.0246635 
iter =  16, Function value -0.183246, Residual: 0.0206094 
iter =  17, Function value -0.183288, Residual: 0.0192335 
iter =  18, Function value -0.18332, Residual: 0.0160983 
iter =  19, Function value -0.183345, Residual: 0.0150272 
iter =  20, Function value -0.183365, Residual: 0.0125899 
iter =  21, Function value -0.183381, Residual: 0.0117563 
iter =  22, Function value -0.183393, Residual: 0.00985586 
iter =  23, Function value -0.183402, Residual: 0.00920635 
iter =  24, Function value -0.18341, Residual: 0.00772179 
iter =  25, Function value -0.183416, Residual: 0.0072149 
iter =  26, Function value -0.18342, Residual: 0.0060537 
iter =  27, Function value -0.183424, Residual: 0.00565754 
iter =  28, Function value -0.183427, Residual: 0.00474837 
iter =  29, Function value -0.183429, Residual: 0.00443839 
iter =  30, Function value -0.183431, Residual: 0.00372601 
iter =  31, Function value -0.183432, Residual: 0.00348322 
iter =  32, Function value -0.183433, Residual: 0.0029247 
iter =  33, Function value -0.183434, Residual: 0.0027344 
iter =  34, Function value -0.183435, Residual: 0.00229629 
iter =  35, Function value -0.183435, Residual: 0.00214705 
iter =  36, Function value -0.183436, Residual: 0.00180326 
iter =  37, Function value -0.183436, Residual: 0.00168617 
iter =  38, Function value -0.183436, Residual: 0.0014163 
iter =  39, Function value -0.183436, Residual: 0.0013244 
iter =  40, Function value -0.183437, Residual: 0.00111252 
iter =  41, Function value -0.183437, Residual: 0.00104037 
iter =  42, Function value -0.183437, Residual: 0.000873973 
iter =  43, Function value -0.183437, Residual: 0.000817318 
iter =  44, Function value -0.183437, Residual: 0.000686629 
iter =  45, Function value -0.183437, Residual: 0.000642134 
iter =  46, Function value -0.183437, Residual: 0.000539476 
iter =  47, Function value -0.183437, Residual: 0.000504526 
iter =  48, Function value -0.183437, Residual: 0.000423879 
iter =  49, Function value -0.183437, Residual: 0.000396424 
iter =  50, Function value -0.183437, Residual: 0.000333064 
iter =  51, Function value -0.183437, Residual: 0.000311494 
iter =  52, Function value -0.183437, Residual: 0.000261713 
iter =  53, Function value -0.183437, Residual: 0.000244767 
iter =  54, Function value -0.183437, Residual: 0.000205652 
iter =  55, Function value -0.183437, Residual: 0.000192337 
iter =  56, Function value -0.183437, Residual: 0.000161603 
iter =  57, Function value -0.183437, Residual: 0.00015114 
iter =  58, Function value -0.183437, Residual: 0.00012699 
iter =  59, Function value -0.183437, Residual: 0.000118769 
iter =  60, Function value -0.183437, Residual: 9.97922e-05 
