  0 TAO,  Function value: 1.67039,  Residual: 0.47529 
  1 TAO,  Function value: 1.57666,  Residual: 0.422933 
  2 TAO,  Function value: 1.52565,  Residual: 0.271616 
  3 TAO,  Function value: 1.5145,  Residual: 0.170316 
  4 TAO,  Function value: 1.51033,  Residual: 0.075391 
  5 TAO,  Function value: 1.50771,  Residual: 0.0589505 
  6 TAO,  Function value: 1.50674,  Residual: 0.106659 
  7 TAO,  Function value: 1.50593,  Residual: 0.0259729 
  8 TAO,  Function value: 1.50577,  Residual: 0.0142932 
  9 TAO,  Function value: 1.50569,  Residual: 0.0119137 
 10 TAO,  Function value: 1.50568,  Residual: 0.0111505 
 11 TAO,  Function value: 1.50567,  Residual: 0.00318216 
 12 TAO,  Function value: 1.50567,  Residual: 0.00237475 
 13 TAO,  Function value: 1.50566,  Residual: 0.00161987 
 14 TAO,  Function value: 1.50566,  Residual: 0.000820692 
 15 TAO,  Function value: 1.50566,  Residual: 0.000650203 
 16 TAO,  Function value: 1.50566,  Residual: 0.000288927 
 17 TAO,  Function value: 1.50566,  Residual: 0.000151203 
 18 TAO,  Function value: 1.50566,  Residual: 7.69064e-05 
