  0 TAO, Function value: 23.7,  Residual: 1481.25 
  1 TAO, Function value: 10.1049,  Residual: 664.903 
  2 TAO, Function value: 1.44247,  Residual: 72.5935 
  3 TAO, Function value: 0.0299771,  Residual: 0.822177 
  4 TAO, Function value: 0.00273847,  Residual: 0.0689271 
  5 TAO, Function value: 8.69442e-05,  Residual: 0.00220898 
  6 TAO, Function value: 1.07007e-07,  Residual: 2.74337e-06 
  7 TAO, Function value: 4.19913e-11,  Residual: 7.96453e-08 
  0 TAO, Function value: 11.6244,  Residual: 620.272 
  1 TAO, Function value: 3.82014,  Residual: 224.374 
  2 TAO, Function value: 0.292614,  Residual: 11.2089 
  3 TAO, Function value: 0.032353,  Residual: 1.01737 
  4 TAO, Function value: 0.000733641,  Residual: 0.0225887 
  5 TAO, Function value: 4.13617e-07,  Residual: 1.27369e-05 
  6 TAO, Function value: 1.32981e-13,  Residual: 4.09721e-12 
  0 TAO, Function value: 7.60885,  Residual: 380.402 
  1 TAO, Function value: 0.506022,  Residual: 15.1386 
  2 TAO, Function value: 0.0577349,  Residual: 1.44822 
  3 TAO, Function value: 0.00145555,  Residual: 0.0386665 
  4 TAO, Function value: 1.096e-06,  Residual: 2.82102e-05 
  5 TAO, Function value: 7.3613e-13,  Residual: 1.51008e-11 
  0 TAO, Function value: 5.89837,  Residual: 226.875 
  1 TAO, Function value: 0.514699,  Residual: 11.5931 
  2 TAO, Function value: 0.0562058,  Residual: 1.1093 
  3 TAO, Function value: 0.00122888,  Residual: 0.0258048 
  4 TAO, Function value: 6.99054e-07,  Residual: 1.45383e-05 
  5 TAO, Function value: 3.31804e-13,  Residual: 5.46063e-12 
  0 TAO, Function value: 4.91075,  Residual: 137.463 
  1 TAO, Function value: 0.535094,  Residual: 9.42406 
  2 TAO, Function value: 0.0522944,  Residual: 0.796596 
  3 TAO, Function value: 0.000919698,  Residual: 0.0147278 
  4 TAO, Function value: 4.3381e-07,  Residual: 5.94393e-06 
  5 TAO, Function value: 1.81962e-13,  Residual: 2.12462e-12 
  0 TAO, Function value: 4.37755,  Residual: 104.021 
  1 TAO, Function value: 0.51686,  Residual: 7.9759 
  2 TAO, Function value: 0.0476356,  Residual: 0.660092 
  3 TAO, Function value: 0.0007414,  Residual: 0.0102447 
  4 TAO, Function value: 3.08278e-07,  Residual: 3.60953e-06 
  5 TAO, Function value: 1.20885e-13,  Residual: 1.53383e-12 
  0 TAO, Function value: 3.98171,  Residual: 81.2764 
  1 TAO, Function value: 0.497,  Residual: 6.67224 
  2 TAO, Function value: 0.0423014,  Residual: 0.485997 
  3 TAO, Function value: 0.0006012,  Residual: 0.00688018 
  4 TAO, Function value: 2.31231e-07,  Residual: 2.56132e-06 
  5 TAO, Function value: 7.5199e-14,  Residual: 9.03896e-13 
  0 TAO, Function value: 3.68995,  Residual: 71.9281 
  1 TAO, Function value: 0.475061,  Residual: 6.17619 
  2 TAO, Function value: 0.038365,  Residual: 0.444251 
  3 TAO, Function value: 0.00051084,  Residual: 0.00585227 
  4 TAO, Function value: 1.24382e-05,  Residual: 0.000228498 
  5 TAO, Function value: 4.08707e-07,  Residual: 7.02416e-06 
  6 TAO, Function value: 5.03055e-10,  Residual: 8.62437e-09 
  0 TAO, Function value: 3.44743,  Residual: 63.889 
  1 TAO, Function value: 0.452013,  Residual: 5.60054 
  2 TAO, Function value: 0.034366,  Residual: 0.369899 
  3 TAO, Function value: 0.000422454,  Residual: 0.00449421 
  4 TAO, Function value: 1.37127e-07,  Residual: 1.46075e-06 
  5 TAO, Function value: 5.27293e-14,  Residual: 7.99515e-13 
