  0 TAO,  Function value: 23.7,  Residual: 1481.25 
  1 TAO,  Function value: 10.1049,  Residual: 664.903 
  2 TAO,  Function value: 1.48623,  Residual: 80.25 
  3 TAO,  Function value: 0.0315302,  Residual: 1.51598 
  4 TAO,  Function value: 0.00281374,  Residual: 0.0753016 
  5 TAO,  Function value: 9.07078e-05,  Residual: 0.00395791 
  0 TAO,  Function value: 11.6244,  Residual: 620.269 
  1 TAO,  Function value: 3.82023,  Residual: 224.38 
  2 TAO,  Function value: 0.292615,  Residual: 11.209 
  3 TAO,  Function value: 0.0323534,  Residual: 1.01738 
  4 TAO,  Function value: 0.00073366,  Residual: 0.0225892 
  5 TAO,  Function value: 4.38043e-07,  Residual: 1.36282e-05 
  0 TAO,  Function value: 7.60885,  Residual: 380.401 
  1 TAO,  Function value: 0.506023,  Residual: 15.1386 
  2 TAO,  Function value: 0.057735,  Residual: 1.44822 
  3 TAO,  Function value: 0.00145556,  Residual: 0.0386676 
  4 TAO,  Function value: 1.1856e-06,  Residual: 5.44951e-05 
  0 TAO,  Function value: 5.89837,  Residual: 226.874 
  1 TAO,  Function value: 0.514699,  Residual: 11.5931 
  2 TAO,  Function value: 0.0562058,  Residual: 1.1093 
  3 TAO,  Function value: 0.00122892,  Residual: 0.0258694 
  4 TAO,  Function value: 1.59023e-06,  Residual: 0.00161971 
  0 TAO,  Function value: 4.91075,  Residual: 137.463 
  1 TAO,  Function value: 0.535094,  Residual: 9.42403 
  2 TAO,  Function value: 0.0522944,  Residual: 0.796788 
  3 TAO,  Function value: 0.000919841,  Residual: 0.022362 
  4 TAO,  Function value: 3.06809e-06,  Residual: 0.00447875 
  5 TAO,  Function value: 1.30491e-07,  Residual: 0.000209391 
  0 TAO,  Function value: 4.37756,  Residual: 104.021 
  1 TAO,  Function value: 0.51686,  Residual: 7.97596 
  2 TAO,  Function value: 0.0476357,  Residual: 0.660928 
  3 TAO,  Function value: 0.000741526,  Residual: 0.0162377 
  4 TAO,  Function value: 9.32679e-07,  Residual: 0.000354323 
  0 TAO,  Function value: 3.98171,  Residual: 81.2764 
  1 TAO,  Function value: 0.497,  Residual: 6.67249 
  2 TAO,  Function value: 0.0423015,  Residual: 0.491117 
  3 TAO,  Function value: 0.000601677,  Residual: 0.0387562 
  4 TAO,  Function value: 3.92846e-06,  Residual: 0.00859554 
  5 TAO,  Function value: 3.13687e-07,  Residual: 0.00110075 
  6 TAO,  Function value: 1.72002e-07,  Residual: 0.000691413 
  0 TAO,  Function value: 3.68995,  Residual: 71.9281 
  1 TAO,  Function value: 0.475062,  Residual: 6.17726 
  2 TAO,  Function value: 0.0383649,  Residual: 0.44648 
  3 TAO,  Function value: 0.000512282,  Residual: 0.0805907 
  4 TAO,  Function value: 1.42337e-05,  Residual: 0.0192485 
  5 TAO,  Function value: 4.47842e-07,  Residual: 0.000372752 
  0 TAO,  Function value: 3.44743,  Residual: 63.8891 
  1 TAO,  Function value: 0.452013,  Residual: 5.60342 
  2 TAO,  Function value: 0.0343662,  Residual: 0.383747 
  3 TAO,  Function value: 0.000424573,  Residual: 0.11043 
  4 TAO,  Function value: 9.89609e-07,  Residual: 0.000897456 
  5 TAO,  Function value: 6.91689e-08,  Residual: 8.5065e-05 
