  0 TAO,  Function value: 23.7,  Residual: 1481.25
  1 TAO,  Function value: 7.54543,  Residual: 452.117
  2 TAO,  Function value: 1.45395,  Residual: 75.0886
  3 TAO,  Function value: 0.0257461,  Residual: 0.768838
  4 TAO,  Function value: 0.00270747,  Residual: 0.0685759
  5 TAO,  Function value: 8.75866e-05,  Residual: 0.0024466
  0 TAO,  Function value: 11.6244,  Residual: 620.269
  1 TAO,  Function value: 3.82023,  Residual: 224.38
  2 TAO,  Function value: 0.292615,  Residual: 11.209
  3 TAO,  Function value: 0.0323533,  Residual: 1.01738
  4 TAO,  Function value: 0.000733659,  Residual: 0.0225892
  5 TAO,  Function value: 4.37921e-07,  Residual: 1.3526e-05
  0 TAO,  Function value: 7.60884,  Residual: 380.401
  1 TAO,  Function value: 0.506023,  Residual: 15.1386
  2 TAO,  Function value: 0.057735,  Residual: 1.44822
  3 TAO,  Function value: 0.00145556,  Residual: 0.0386675
  4 TAO,  Function value: 1.18546e-06,  Residual: 5.38941e-05
  0 TAO,  Function value: 5.89837,  Residual: 226.874
  1 TAO,  Function value: 0.514699,  Residual: 11.5931
  2 TAO,  Function value: 0.0562058,  Residual: 1.1093
  3 TAO,  Function value: 0.00122892,  Residual: 0.025871
  4 TAO,  Function value: 1.87629e-06,  Residual: 0.00204237
  0 TAO,  Function value: 4.91075,  Residual: 137.463
  1 TAO,  Function value: 0.535094,  Residual: 9.42404
  2 TAO,  Function value: 0.0522944,  Residual: 0.796875
  3 TAO,  Function value: 0.000919892,  Residual: 0.0247797
  4 TAO,  Function value: 3.85289e-06,  Residual: 0.0055861
  5 TAO,  Function value: 1.27643e-07,  Residual: 0.0001891
  0 TAO,  Function value: 4.37756,  Residual: 104.021
  1 TAO,  Function value: 0.51686,  Residual: 7.97598
  2 TAO,  Function value: 0.0476357,  Residual: 0.661634
  3 TAO,  Function value: 0.000741485,  Residual: 0.0116786
  4 TAO,  Function value: 9.00141e-07,  Residual: 0.000382392
  0 TAO,  Function value: 3.98171,  Residual: 81.2763
  1 TAO,  Function value: 0.497,  Residual: 6.67248
  2 TAO,  Function value: 0.0423015,  Residual: 0.491255
  3 TAO,  Function value: 0.000601838,  Residual: 0.0475081
  4 TAO,  Function value: 3.0286e-06,  Residual: 0.0070019
  5 TAO,  Function value: 5.52759e-07,  Residual: 0.00167902
  6 TAO,  Function value: 2.3434e-07,  Residual: 0.000896014
  0 TAO,  Function value: 3.68995,  Residual: 71.9281
  1 TAO,  Function value: 0.475062,  Residual: 6.17728
  2 TAO,  Function value: 0.0383649,  Residual: 0.446491
  3 TAO,  Function value: 0.000512194,  Residual: 0.0774649
  4 TAO,  Function value: 1.97886e-05,  Residual: 0.039282
  5 TAO,  Function value: 7.95842e-07,  Residual: 0.00281596
  6 TAO,  Function value: 2.69775e-08,  Residual: 3.42852e-05
  0 TAO,  Function value: 3.44743,  Residual: 63.8891
  1 TAO,  Function value: 0.452013,  Residual: 5.60501
  2 TAO,  Function value: 0.0343662,  Residual: 0.375128
  3 TAO,  Function value: 0.00042302,  Residual: 0.0496585
  4 TAO,  Function value: 1.0502e-06,  Residual: 0.000926542
  5 TAO,  Function value: 7.72667e-08,  Residual: 8.2063e-05
