  0 TAO,  Function value: 23.7,  Residual: 1481.25 
  1 TAO,  Function value: 10.1049,  Residual: 664.903 
  2 TAO,  Function value: 1.44247,  Residual: 72.5935 
  3 TAO,  Function value: 0.0299771,  Residual: 0.822177 
  4 TAO,  Function value: 0.00273847,  Residual: 0.0689271 
  5 TAO,  Function value: 8.69442e-05,  Residual: 0.00220898 
  0 TAO,  Function value: 11.6244,  Residual: 620.269 
  1 TAO,  Function value: 3.82024,  Residual: 224.38 
  2 TAO,  Function value: 0.292616,  Residual: 11.209 
  3 TAO,  Function value: 0.0323534,  Residual: 1.01738 
  4 TAO,  Function value: 0.000733657,  Residual: 0.0225892 
  5 TAO,  Function value: 4.13636e-07,  Residual: 1.27375e-05 
  0 TAO,  Function value: 7.60885,  Residual: 380.401 
  1 TAO,  Function value: 0.506023,  Residual: 15.1385 
  2 TAO,  Function value: 0.057735,  Residual: 1.44821 
  3 TAO,  Function value: 0.00145555,  Residual: 0.0386663 
  4 TAO,  Function value: 1.096e-06,  Residual: 2.82101e-05 
  0 TAO,  Function value: 5.89837,  Residual: 226.874 
  1 TAO,  Function value: 0.514699,  Residual: 11.5931 
  2 TAO,  Function value: 0.0562058,  Residual: 1.10929 
  3 TAO,  Function value: 0.00122888,  Residual: 0.0258047 
  4 TAO,  Function value: 6.99054e-07,  Residual: 1.45382e-05 
  0 TAO,  Function value: 4.91075,  Residual: 137.463 
  1 TAO,  Function value: 0.535094,  Residual: 9.42404 
  2 TAO,  Function value: 0.0522944,  Residual: 0.796593 
  3 TAO,  Function value: 0.000919699,  Residual: 0.0147277 
  4 TAO,  Function value: 4.33811e-07,  Residual: 5.94393e-06 
  0 TAO,  Function value: 4.37756,  Residual: 104.021 
  1 TAO,  Function value: 0.51686,  Residual: 7.97588 
  2 TAO,  Function value: 0.0476357,  Residual: 0.660091 
  3 TAO,  Function value: 0.0007414,  Residual: 0.0102447 
  4 TAO,  Function value: 3.08278e-07,  Residual: 3.60953e-06 
  0 TAO,  Function value: 3.98171,  Residual: 81.2763 
  1 TAO,  Function value: 0.497,  Residual: 6.67224 
  2 TAO,  Function value: 0.0423014,  Residual: 0.485996 
  3 TAO,  Function value: 0.0006012,  Residual: 0.00688018 
  4 TAO,  Function value: 2.31232e-07,  Residual: 2.56133e-06 
  0 TAO,  Function value: 3.68995,  Residual: 71.9281 
  1 TAO,  Function value: 0.475062,  Residual: 6.17619 
  2 TAO,  Function value: 0.0383649,  Residual: 0.444235 
  3 TAO,  Function value: 0.000510833,  Residual: 0.00585193 
  4 TAO,  Function value: 1.24332e-05,  Residual: 0.000228405 
  0 TAO,  Function value: 3.44743,  Residual: 63.8891 
  1 TAO,  Function value: 0.452013,  Residual: 5.60054 
  2 TAO,  Function value: 0.034366,  Residual: 0.369899 
  3 TAO,  Function value: 0.000422454,  Residual: 0.00449421 
  4 TAO,  Function value: 1.37127e-07,  Residual: 1.46075e-06 
