---- Constrained Problem -----
Solution should be f(1,1)=-2
iter = 0, Function value: 8.,  Residual: 26.   Constraint: 2. 
  iter = 0,   Function value: 14.4,    Residual: 3.93774     Constraint: 0. 
  iter = 1,   Function value: 14.4,    Residual: 3.93774     Constraint: 0. 
  iter = 1,   Function value: 1.35,    Residual: 3.53095     Constraint: 0. 
  iter = 2,   Function value: 1.35,    Residual: 3.53095     Constraint: 0. 
  iter = 2,   Function value: -1.05917,    Residual: 2.82567     Constraint: 0. 
  iter = 3,   Function value: -2.74096,    Residual: 1.55352     Constraint: 0. 
  iter = 4,   Function value: -3.18246,    Residual: 0.716589     Constraint: 0. 
  iter = 5,   Function value: -3.18246,    Residual: 0.716589     Constraint: 0. 
  iter = 5,   Function value: -3.20528,    Residual: 0.430024     Constraint: 0. 
  iter = 6,   Function value: -3.21104,    Residual: 0.0226331     Constraint: 0. 
  iter = 7,   Function value: -3.21105,    Residual: 0.00161365     Constraint: 0. 
  iter = 8,   Function value: -3.21105,    Residual: 4.79739e-06     Constraint: 0. 
iter = 1, Function value: -4.15492,  Residual: 3.61165e-06   Constraint: 0.737344 
  iter = 0,   Function value: -0.379447,    Residual: 2.65452     Constraint: 0. 
  iter = 1,   Function value: -0.379447,    Residual: 2.65452     Constraint: 0. 
  iter = 1,   Function value: -0.379447,    Residual: 2.65452     Constraint: 0. 
  iter = 1,   Function value: -0.736601,    Residual: 1.79147     Constraint: 0. 
  iter = 2,   Function value: -0.977956,    Residual: 1.08516     Constraint: 0. 
  iter = 3,   Function value: -1.11618,    Residual: 0.111494     Constraint: 0. 
  iter = 4,   Function value: -1.11692,    Residual: 0.0353964     Constraint: 0. 
  iter = 5,   Function value: -1.11698,    Residual: 0.00270382     Constraint: 0. 
  iter = 6,   Function value: -1.11698,    Residual: 1.53039e-06     Constraint: 0. 
iter = 2, Function value: -2.52305,  Residual: 1.53039e-06   Constraint: 0.155216 
  iter = 0,   Function value: -0.561312,    Residual: 0.958033     Constraint: 0. 
  iter = 1,   Function value: -0.561312,    Residual: 0.958033     Constraint: 0. 
  iter = 1,   Function value: -0.561312,    Residual: 0.958033     Constraint: 0. 
  iter = 1,   Function value: -0.585466,    Residual: 0.576699     Constraint: 0. 
  iter = 2,   Function value: -0.596529,    Residual: 0.11634     Constraint: 0. 
  iter = 3,   Function value: -0.597229,    Residual: 0.00192462     Constraint: 0. 
  iter = 4,   Function value: -0.597229,    Residual: 0.00046879     Constraint: 0. 
  iter = 5,   Function value: -0.597229,    Residual: 3.45048e-08     Constraint: 0. 
iter = 3, Function value: -2.12263,  Residual: 3.44777e-08   Constraint: 0.0347064 
  iter = 0,   Function value: -0.47285,    Residual: 0.20593     Constraint: 0. 
  iter = 1,   Function value: -0.47285,    Residual: 0.20593     Constraint: 0. 
  iter = 1,   Function value: -0.47285,    Residual: 0.20593     Constraint: 0. 
  iter = 1,   Function value: -0.474232,    Residual: 0.126056     Constraint: 0. 
  iter = 2,   Function value: -0.474232,    Residual: 0.126056     Constraint: 0. 
  iter = 2,   Function value: -0.474707,    Residual: 0.038383     Constraint: 0. 
  iter = 3,   Function value: -0.474782,    Residual: 0.000122791     Constraint: 0. 
  iter = 4,   Function value: -0.474782,    Residual: 1.84411e-06     Constraint: 0. 
iter = 4, Function value: -2.02858,  Residual: 1.83019e-06   Constraint: 0.00788332 
  iter = 0,   Function value: -0.446107,    Residual: 0.045575     Constraint: 0. 
  iter = 1,   Function value: -0.446107,    Residual: 0.045575     Constraint: 0. 
  iter = 1,   Function value: -0.446107,    Residual: 0.045575     Constraint: 0. 
  iter = 1,   Function value: -0.446185,    Residual: 0.0267075     Constraint: 0. 
  iter = 2,   Function value: -0.446185,    Residual: 0.0267075     Constraint: 0. 
  iter = 2,   Function value: -0.446208,    Residual: 0.0097664     Constraint: 0. 
  iter = 3,   Function value: -0.446213,    Residual: 1.51375e-06     Constraint: 0. 
iter = 5, Function value: -2.00667,  Residual: 1.47485e-06   Constraint: 0.00180682 
  iter = 0,   Function value: -0.439536,    Residual: 0.0104394     Constraint: 0. 
  iter = 1,   Function value: -0.439536,    Residual: 0.0104394     Constraint: 0. 
  iter = 1,   Function value: -0.439536,    Residual: 0.0104394     Constraint: 0. 
  iter = 1,   Function value: -0.43954,    Residual: 0.00579501     Constraint: 0. 
  iter = 2,   Function value: -0.43954,    Residual: 0.00579501     Constraint: 0. 
  iter = 2,   Function value: -0.439541,    Residual: 0.00331534     Constraint: 0. 
  iter = 3,   Function value: -0.439541,    Residual: 2.58621e-07     Constraint: 0. 
iter = 6, Function value: -2.00156,  Residual: 2.56558e-07   Constraint: 0.000416652 
  iter = 0,   Function value: -0.43798,    Residual: 0.00242705     Constraint: 0. 
  iter = 1,   Function value: -0.43798,    Residual: 0.00242705     Constraint: 0. 
  iter = 1,   Function value: -0.43798,    Residual: 0.00242705     Constraint: 0. 
  iter = 1,   Function value: -0.43798,    Residual: 0.00128617     Constraint: 0. 
  iter = 2,   Function value: -0.43798,    Residual: 0.00128617     Constraint: 0. 
  iter = 2,   Function value: -0.43798,    Residual: 0.00106241     Constraint: 0. 
  iter = 3,   Function value: -0.43798,    Residual: 3.23954e-05     Constraint: 0. 
  iter = 4,   Function value: -0.43798,    Residual: 8.7922e-10     Constraint: 0. 
iter = 7, Function value: -2.00037,  Residual: 8.7922e-10   Constraint: 9.66874e-05 
  iter = 0,   Function value: -0.437613,    Residual: 0.000569559     Constraint: 0. 
  iter = 1,   Function value: -0.437613,    Residual: 0.000569559     Constraint: 0. 
  iter = 1,   Function value: -0.437613,    Residual: 0.000569559     Constraint: 0. 
  iter = 1,   Function value: -0.437613,    Residual: 0.000291518     Constraint: 0. 
  iter = 2,   Function value: -0.437613,    Residual: 0.000291518     Constraint: 0. 
  iter = 2,   Function value: -0.437613,    Residual: 0.000313422     Constraint: 0. 
  iter = 3,   Function value: -0.437613,    Residual: 4.26712e-05     Constraint: 0. 
  iter = 4,   Function value: -0.437613,    Residual: 3.84651e-10     Constraint: 0. 
iter = 8, Function value: -2.00009,  Residual: 3.84651e-10   Constraint: 2.25401e-05 
  iter = 0,   Function value: -0.437527,    Residual: 0.000134351     Constraint: 0. 
  iter = 1,   Function value: -0.437527,    Residual: 0.000134351     Constraint: 0. 
  iter = 1,   Function value: -0.437527,    Residual: 0.000134351     Constraint: 0. 
  iter = 1,   Function value: -0.437527,    Residual: 6.70663e-05     Constraint: 0. 
  iter = 2,   Function value: -0.437527,    Residual: 6.70663e-05     Constraint: 0. 
  iter = 2,   Function value: -0.437527,    Residual: 8.71341e-05     Constraint: 0. 
  iter = 3,   Function value: -0.437527,    Residual: 5.29292e-05     Constraint: 0. 
  iter = 4,   Function value: -0.437527,    Residual: 1.40109e-10     Constraint: 0. 
iter = 9, Function value: -2.00002,  Residual: 1.40109e-10   Constraint: 5.27541e-06 
Vec Object: 1 MPI processes
  type: seq
1.
1.
