---- Constrained Problem -----
iter = 0, Function value: 8.,  Residual: 7.2111   Constraint: 1. 
  iter = 0,   Function value: 13.,    Residual: 20.1929     Constraint: 0. 
  iter = 1,   Function value: 13.,    Residual: 20.1929     Constraint: 0. 
  iter = 1,   Function value: 13.,    Residual: 20.1929     Constraint: 0. 
  iter = 1,   Function value: 8.21729,    Residual: 8.65174     Constraint: 0. 
  iter = 2,   Function value: 5.03922,    Residual: 5.96421     Constraint: 0. 
  iter = 3,   Function value: 5.03922,    Residual: 5.96421     Constraint: 0. 
  iter = 3,   Function value: 3.79126,    Residual: 2.57892     Constraint: 0. 
  iter = 4,   Function value: 1.2797,    Residual: 2.30749     Constraint: 0. 
  iter = 5,   Function value: -3.67132,    Residual: 2.41303     Constraint: 0. 
  iter = 6,   Function value: -3.67132,    Residual: 2.41303     Constraint: 0. 
  iter = 6,   Function value: -3.67132,    Residual: 2.41303     Constraint: 0. 
  iter = 6,   Function value: -4.14052,    Residual: 1.37924     Constraint: 0. 
  iter = 7,   Function value: -4.59449,    Residual: 1.28136     Constraint: 0. 
  iter = 8,   Function value: -6.08462,    Residual: 2.02088     Constraint: 0. 
  iter = 9,   Function value: -6.08462,    Residual: 2.02088     Constraint: 0. 
  iter = 9,   Function value: -6.08462,    Residual: 2.02088     Constraint: 0. 
  iter = 9,   Function value: -6.19538,    Residual: 2.17604     Constraint: 0. 
  iter = 10,   Function value: -6.46187,    Residual: 0.655423     Constraint: 0. 
  iter = 11,   Function value: -6.52826,    Residual: 3.63137     Constraint: 0. 
  iter = 12,   Function value: -6.60772,    Residual: 1.78842     Constraint: 0. 
  iter = 13,   Function value: -6.60772,    Residual: 1.78842     Constraint: 0. 
  iter = 13,   Function value: -6.61936,    Residual: 3.15811     Constraint: 0. 
  iter = 14,   Function value: -6.63589,    Residual: 2.79982     Constraint: 0. 
  iter = 15,   Function value: -6.68027,    Residual: 1.65964     Constraint: 0. 
  iter = 16,   Function value: -6.74099,    Residual: 1.2566     Constraint: 0. 
  iter = 17,   Function value: -6.84312,    Residual: 0.97252     Constraint: 0. 
  iter = 18,   Function value: -7.07915,    Residual: 0.991808     Constraint: 0. 
  iter = 19,   Function value: -7.07915,    Residual: 0.991808     Constraint: 0. 
  iter = 19,   Function value: -7.32343,    Residual: 0.899878     Constraint: 0. 
  iter = 20,   Function value: -7.32343,    Residual: 0.899878     Constraint: 0. 
  iter = 20,   Function value: -7.40961,    Residual: 0.326925     Constraint: 0. 
  iter = 21,   Function value: -7.41827,    Residual: 0.137509     Constraint: 0. 
  iter = 22,   Function value: -7.41827,    Residual: 0.137509     Constraint: 0. 
  iter = 22,   Function value: -7.41827,    Residual: 0.137509     Constraint: 0. 
  iter = 22,   Function value: -7.41827,    Residual: 0.137509     Constraint: 0. 
  iter = 22,   Function value: -7.41827,    Residual: 0.137509     Constraint: 0. 
  iter = 22,   Function value: -7.41832,    Residual: 0.099157     Constraint: 0. 
iter = 1, Function value: -7.443,  Residual: 0.123389   Constraint: 0.0702545 
  iter = 0,   Function value: -7.36896,    Residual: 1.94167     Constraint: 0. 
  iter = 1,   Function value: -7.36896,    Residual: 1.94167     Constraint: 0. 
  iter = 1,   Function value: -7.36896,    Residual: 1.94167     Constraint: 0. 
  iter = 1,   Function value: -7.36896,    Residual: 1.94167     Constraint: 0. 
  iter = 1,   Function value: -7.36896,    Residual: 1.94167     Constraint: 0. 
  iter = 1,   Function value: -7.37918,    Residual: 0.309106     Constraint: 0. 
  iter = 2,   Function value: -7.38478,    Residual: 0.242575     Constraint: 0. 
  iter = 3,   Function value: -7.39007,    Residual: 0.30107     Constraint: 0. 
  iter = 4,   Function value: -7.39238,    Residual: 0.0019905     Constraint: 0. 
iter = 2, Function value: -7.3944,  Residual: 0.00199686   Constraint: 0.00380698 
  iter = 0,   Function value: -7.39224,    Residual: 0.232305     Constraint: 0. 
  iter = 1,   Function value: -7.39224,    Residual: 0.232305     Constraint: 0. 
  iter = 1,   Function value: -7.39224,    Residual: 0.232305     Constraint: 0. 
  iter = 1,   Function value: -7.39224,    Residual: 0.232305     Constraint: 0. 
  iter = 1,   Function value: -7.39224,    Residual: 0.232305     Constraint: 0. 
  iter = 1,   Function value: -7.3923,    Residual: 0.00560296     Constraint: 0. 
  iter = 2,   Function value: -7.3923,    Residual: 0.00560296     Constraint: 0. 
  iter = 2,   Function value: -7.3923,    Residual: 0.00393096     Constraint: 0. 
  iter = 3,   Function value: -7.3923,    Residual: 2.17169e-06     Constraint: 0. 
iter = 3, Function value: -7.3924,  Residual: 2.11441e-06   Constraint: 0.000132469 
  iter = 0,   Function value: -7.3923,    Residual: 0.00475427     Constraint: 0. 
  iter = 1,   Function value: -7.3923,    Residual: 0.00475427     Constraint: 0. 
  iter = 1,   Function value: -7.3923,    Residual: 0.00475427     Constraint: 0. 
  iter = 1,   Function value: -7.3923,    Residual: 0.00475427     Constraint: 0. 
  iter = 1,   Function value: -7.3923,    Residual: 0.00475427     Constraint: 0. 
  iter = 1,   Function value: -7.3923,    Residual: 0.000642959     Constraint: 0. 
  iter = 2,   Function value: -7.3923,    Residual: 0.000446426     Constraint: 0. 
  iter = 3,   Function value: -7.3923,    Residual: 0.000987872     Constraint: 0. 
  iter = 4,   Function value: -7.3923,    Residual: 9.29321e-09     Constraint: 0. 
iter = 4, Function value: -7.39231,  Residual: 9.23289e-09   Constraint: 3.72644e-06 
Vec Object: 2 MPI processes
  type: mpi
Process [0]
1.73205
2.
Process [1]
