  0 TAO,  Function value: 14.6462,  Residual: 14.2702 
  1 TAO,  Function value: 5.96923,  Residual: 3.85466 
  2 TAO,  Function value: 4.98847,  Residual: 2.23763 
  3 TAO,  Function value: 4.31734,  Residual: 0.684198 
  4 TAO,  Function value: 4.25087,  Residual: 0.47394 
  5 TAO,  Function value: 4.2316,  Residual: 0.129766 
  6 TAO,  Function value: 4.22888,  Residual: 0.0779271 
  7 TAO,  Function value: 4.22753,  Residual: 0.0549692 
  8 TAO,  Function value: 4.22736,  Residual: 0.0438067 
  9 TAO,  Function value: 4.22726,  Residual: 0.00947796 
 10 TAO,  Function value: 4.22725,  Residual: 0.0047011 
 11 TAO,  Function value: 4.22724,  Residual: 0.00426747 
 12 TAO,  Function value: 4.22724,  Residual: 0.00223334 
 13 TAO,  Function value: 4.22724,  Residual: 0.000960893 
 14 TAO,  Function value: 4.22724,  Residual: 0.000463424 
 15 TAO,  Function value: 4.22724,  Residual: 0.000198511 
 16 TAO,  Function value: 4.22724,  Residual: 0.000185543 
 17 TAO,  Function value: 4.22724,  Residual: 3.58424e-05 
 18 TAO,  Function value: 4.22724,  Residual: 1.9972e-05 
 19 TAO,  Function value: 4.22724,  Residual: 1.24564e-05 
 20 TAO,  Function value: 4.22724,  Residual: 1.3576e-05 
 21 TAO,  Function value: 4.22724,  Residual: 1.97237e-06 
 22 TAO,  Function value: 4.22724,  Residual: 2.21025e-06 
 23 TAO,  Function value: 4.22724,  Residual: 1.77166e-06 
 24 TAO,  Function value: 4.22724,  Residual: 1.7059e-06 
 25 TAO,  Function value: 4.22724,  Residual: 1.6605e-06 
 26 TAO,  Function value: 4.22724,  Residual: 1.64527e-06 
 27 TAO,  Function value: 4.22724,  Residual: 1.59016e-06 
 28 TAO,  Function value: 4.22724,  Residual: 1.59628e-06 
 29 TAO,  Function value: 4.22724,  Residual: 1.50434e-06 
 30 TAO,  Function value: 4.22724,  Residual: 1.36677e-06 
 31 TAO,  Function value: 4.22724,  Residual: 1.36844e-06 
 32 TAO,  Function value: 4.22724,  Residual: 1.30683e-06 
 33 TAO,  Function value: 4.22724,  Residual: 1.3011e-06 
 34 TAO,  Function value: 4.22724,  Residual: 1.22575e-06 
 35 TAO,  Function value: 4.22724,  Residual: 1.21099e-06 
 36 TAO,  Function value: 4.22724,  Residual: 1.05761e-06 
 37 TAO,  Function value: 4.22724,  Residual: 1.04565e-06 
 38 TAO,  Function value: 4.22724,  Residual: 1.02724e-06 
 39 TAO,  Function value: 4.22724,  Residual: 1.02464e-06 
 40 TAO,  Function value: 4.22724,  Residual: 9.32861e-07 
 41 TAO,  Function value: 4.22724,  Residual: 8.52028e-07 
 42 TAO,  Function value: 4.22724,  Residual: 8.52387e-07 
 43 TAO,  Function value: 4.22724,  Residual: 8.22193e-07 
 44 TAO,  Function value: 4.22724,  Residual: 8.18845e-07 
 45 TAO,  Function value: 4.22724,  Residual: 8.18184e-07 
 46 TAO,  Function value: 4.22724,  Residual: 8.11899e-07 
 47 TAO,  Function value: 4.22724,  Residual: 8.11163e-07 
 48 TAO,  Function value: 4.22724,  Residual: 8.04299e-07 
 49 TAO,  Function value: 4.22724,  Residual: 8.07239e-07 
 50 TAO,  Function value: 4.22724,  Residual: 7.99756e-07 
 51 TAO,  Function value: 4.22724,  Residual: 8.01152e-07 
 52 TAO,  Function value: 4.22724,  Residual: 7.80968e-07 
 53 TAO,  Function value: 4.22724,  Residual: 7.676e-07 
 54 TAO,  Function value: 4.22724,  Residual: 7.66704e-07 
