  0 TAO,  Function value: 13.345,  Residual: 3.08587 
  0 TAO,  Function value: 13.345,  Residual: 2.60008 
  0 TAO,  Function value: 13.345,  Residual: 2.50388 
  0 TAO,  Function value: 13.345,  Residual: 2.49832 
  0 TAO,  Function value: 13.345,  Residual: 2.47006 
  0 TAO,  Function value: 13.345,  Residual: 2.46463 
  0 TAO,  Function value: 13.345,  Residual: 2.36371 
  0 TAO,  Function value: 13.345,  Residual: 2.16017 
  0 TAO,  Function value: 13.345,  Residual: 2.15642 
  0 TAO,  Function value: 13.345,  Residual: 2.14157 
  0 TAO,  Function value: 13.345,  Residual: 2.07822 
  0 TAO,  Function value: 13.345,  Residual: 2.06147 
  0 TAO,  Function value: 13.345,  Residual: 2.05368 
  0 TAO,  Function value: 13.345,  Residual: 2.00195 
  0 TAO,  Function value: 13.345,  Residual: 1.99586 
  0 TAO,  Function value: 13.345,  Residual: 1.98139 
  0 TAO,  Function value: 13.2715,  Residual: 2.02466 
  0 TAO,  Function value: 13.2715,  Residual: 1.97065 
  0 TAO,  Function value: 13.2715,  Residual: 1.89652 
  0 TAO,  Function value: 13.2715,  Residual: 1.89553 
  0 TAO,  Function value: 13.2715,  Residual: 1.87321 
  0 TAO,  Function value: 13.2715,  Residual: 1.87224 
  0 TAO,  Function value: 13.2467,  Residual: 1.89448 
  0 TAO,  Function value: 13.0016,  Residual: 2.13471 
  0 TAO,  Function value: 13.0016,  Residual: 2.12733 
  0 TAO,  Function value: 13.0016,  Residual: 2.09995 
  0 TAO,  Function value: 13.0016,  Residual: 2.09915 
  0 TAO,  Function value: 12.9165,  Residual: 2.17085 
  0 TAO,  Function value: 12.8895,  Residual: 2.19719 
  0 TAO,  Function value: 12.8895,  Residual: 2.1904 
  0 TAO,  Function value: 12.8573,  Residual: 2.21607 
  0 TAO,  Function value: 12.8573,  Residual: 2.21516 
  0 TAO,  Function value: 12.8573,  Residual: 2.20592 
  0 TAO,  Function value: 12.8573,  Residual: 2.20514 
  0 TAO,  Function value: 12.7811,  Residual: 2.26775 
  0 TAO,  Function value: 12.7724,  Residual: 2.26655 
  0 TAO,  Function value: 12.705,  Residual: 2.32661 
  0 TAO,  Function value: 12.705,  Residual: 2.32259 
  0 TAO,  Function value: 12.6365,  Residual: 2.37424 
  0 TAO,  Function value: 12.625,  Residual: 2.37086 
  0 TAO,  Function value: 12.625,  Residual: 2.3678 
  0 TAO,  Function value: 12.5476,  Residual: 2.43996 
  0 TAO,  Function value: 12.5476,  Residual: 2.42789 
  0 TAO,  Function value: 12.5476,  Residual: 2.42672 
  0 TAO,  Function value: 12.5476,  Residual: 2.42513 
  0 TAO,  Function value: 12.523,  Residual: 2.44161 
  0 TAO,  Function value: 12.523,  Residual: 2.43034 
  0 TAO,  Function value: 12.523,  Residual: 2.42995 
  0 TAO,  Function value: 12.523,  Residual: 2.42663 
  0 TAO,  Function value: 12.523,  Residual: 2.42424 
  0 TAO,  Function value: 12.523,  Residual: 2.42305 
  0 TAO,  Function value: 12.523,  Residual: 2.4229 
  0 TAO,  Function value: 12.523,  Residual: 2.41826 
  0 TAO,  Function value: 12.4329,  Residual: 2.48783 
  0 TAO,  Function value: 12.4329,  Residual: 2.47371 
  0 TAO,  Function value: 12.4329,  Residual: 2.46762 
  0 TAO,  Function value: 12.4329,  Residual: 2.46569 
  0 TAO,  Function value: 12.4329,  Residual: 2.46309 
  0 TAO,  Function value: 12.4329,  Residual: 2.4606 
  0 TAO,  Function value: 12.4329,  Residual: 2.44924 
  0 TAO,  Function value: 12.4329,  Residual: 2.44555 
  0 TAO,  Function value: 12.4329,  Residual: 2.42715 
  0 TAO,  Function value: 12.2563,  Residual: 2.59854 
  0 TAO,  Function value: 12.1183,  Residual: 2.73212 
  0 TAO,  Function value: 12.1183,  Residual: 2.72068 
  0 TAO,  Function value: 12.1183,  Residual: 2.71111 
  0 TAO,  Function value: 12.1183,  Residual: 2.70671 
  0 TAO,  Function value: 12.1183,  Residual: 2.6854 
  0 TAO,  Function value: 12.1183,  Residual: 2.6836 
  0 TAO,  Function value: 12.104,  Residual: 2.68934 
  0 TAO,  Function value: 12.104,  Residual: 2.68751 
  0 TAO,  Function value: 12.0046,  Residual: 2.7838 
  0 TAO,  Function value: 12.0046,  Residual: 2.76943 
  0 TAO,  Function value: 12.0046,  Residual: 2.74068 
  0 TAO,  Function value: 12.0046,  Residual: 2.72391 
  0 TAO,  Function value: 12.0046,  Residual: 2.72031 
  0 TAO,  Function value: 11.9004,  Residual: 2.80755 
  0 TAO,  Function value: 11.9004,  Residual: 2.7918 
  0 TAO,  Function value: 11.9004,  Residual: 2.78193 
  0 TAO,  Function value: 11.9004,  Residual: 2.77896 
  0 TAO,  Function value: 11.84,  Residual: 2.82464 
  0 TAO,  Function value: 11.84,  Residual: 2.80621 
  0 TAO,  Function value: 9.14752,  Residual: 5.464 
  0 TAO,  Function value: 9.14752,  Residual: 5.45179 
  0 TAO,  Function value: 9.14752,  Residual: 5.43952 
  0 TAO,  Function value: 9.14752,  Residual: 5.4284 
  0 TAO,  Function value: 9.14752,  Residual: 5.4178 
  0 TAO,  Function value: 9.14752,  Residual: 5.39681 
  0 TAO,  Function value: 9.14752,  Residual: 5.39281 
  0 TAO,  Function value: 9.14752,  Residual: 5.38556 
  0 TAO,  Function value: 9.14752,  Residual: 5.37815 
  0 TAO,  Function value: 9.14752,  Residual: 5.37683 
  0 TAO,  Function value: 9.14752,  Residual: 5.31566 
  0 TAO,  Function value: 9.14752,  Residual: 5.27402 
  0 TAO,  Function value: 9.14752,  Residual: 5.27366 
  0 TAO,  Function value: 9.14752,  Residual: 5.16124 
  0 TAO,  Function value: 9.14752,  Residual: 5.15272 
  0 TAO,  Function value: 9.14752,  Residual: 5.14594 
  0 TAO,  Function value: 9.14752,  Residual: 5.14165 
  0 TAO,  Function value: 9.14752,  Residual: 5.10306 
  0 TAO,  Function value: 9.14752,  Residual: 5.09945 
  0 TAO,  Function value: 9.14752,  Residual: 5.0917 
  0 TAO,  Function value: 9.14752,  Residual: 5.0844 
  0 TAO,  Function value: 9.14752,  Residual: 5.07019 
  0 TAO,  Function value: 9.14752,  Residual: 5.05399 
  0 TAO,  Function value: 9.14752,  Residual: 5.03808 
  0 TAO,  Function value: 9.14752,  Residual: 4.94633 
  0 TAO,  Function value: 9.14752,  Residual: 4.90297 
  0 TAO,  Function value: 9.14752,  Residual: 4.89515 
  0 TAO,  Function value: 9.14752,  Residual: 4.88485 
  0 TAO,  Function value: 9.14752,  Residual: 4.88203 
  0 TAO,  Function value: 9.14752,  Residual: 4.88167 
  0 TAO,  Function value: 9.14752,  Residual: 4.88103 
  0 TAO,  Function value: 9.14752,  Residual: 4.87636 
  0 TAO,  Function value: 9.14752,  Residual: 4.85235 
  0 TAO,  Function value: 9.14752,  Residual: 4.83338 
  0 TAO,  Function value: 9.14752,  Residual: 4.82835 
  0 TAO,  Function value: 9.14752,  Residual: 4.82645 
  0 TAO,  Function value: 9.14752,  Residual: 4.79613 
  0 TAO,  Function value: 9.14752,  Residual: 4.78695 
  0 TAO,  Function value: 9.14752,  Residual: 4.74239 
  0 TAO,  Function value: 9.14752,  Residual: 4.73848 
  0 TAO,  Function value: 9.14752,  Residual: 4.73439 
  0 TAO,  Function value: 9.14752,  Residual: 4.70901 
  0 TAO,  Function value: 9.14752,  Residual: 4.6977 
  0 TAO,  Function value: 9.14752,  Residual: 4.6698 
