iter =   0, Function value 4575.71, Residual: 1815.3 
iter =   1, Function value 4575.71, Residual: 415.142 
iter =   2, Function value 4575.71, Residual: 1850.46 
iter =   3, Function value 4575.71, Residual: 1862.73 
iter =   4, Function value 4575.71, Residual: 440.641 
iter =   5, Function value 4575.71, Residual: 157.115 
iter =   6, Function value 2667.44, Residual: 273.967 
iter =   7, Function value 2654.06, Residual: 3263.29 
iter =   8, Function value 2654.06, Residual: 2824.82 
iter =   9, Function value 2654.06, Residual: 144.154 
iter =  10, Function value 2654.06, Residual: 41.7469 
iter =  11, Function value 2654.06, Residual: 6.85061 
iter =  12, Function value 2654.06, Residual: 0.55979 
iter =  13, Function value 2654.06, Residual: 0.440674 
iter =  14, Function value 2537.56, Residual: 1.0759 
iter =  15, Function value 2537.56, Residual: 0.207862 
iter =  16, Function value 2486.56, Residual: 0.632506 
iter =  17, Function value 2486.56, Residual: 0.223291 
iter =  18, Function value 2456.74, Residual: 0.155643 
iter =  19, Function value 2436.51, Residual: 1.00368 
iter =  20, Function value 2436.51, Residual: 0.241038 
iter =  21, Function value 2423.28, Residual: 0.25455 
iter =  22, Function value 2420.25, Residual: 0.914908 
iter =  23, Function value 2414.92, Residual: 4.13148 
iter =  24, Function value 2411.82, Residual: 7.52835 
iter =  25, Function value 2409.57, Residual: 66.7578 
iter =  26, Function value 2407.06, Residual: 17.2473 
iter =  27, Function value 2405.09, Residual: 157.226 
iter =  28, Function value 2403.55, Residual: 8.88314 
iter =  29, Function value 2402.17, Residual: 258.459 
iter =  30, Function value 2398.33, Residual: 2462.41 
iter =  31, Function value 2397.78, Residual: 3491.83 
iter =  32, Function value 2397.78, Residual: 87.0426 
iter =  33, Function value 2397.78, Residual: 2.82558 
iter =  34, Function value 2387.71, Residual: 19.4778 
iter =  35, Function value 2384.55, Residual: 29.1773 
iter =  36, Function value 2384.51, Residual: 6.36977 
iter =  37, Function value 2384.48, Residual: 0.536707 
iter =  38, Function value 2384.48, Residual: 0.11337 
iter =  39, Function value 2384.48, Residual: 0.0272055 
iter =  40, Function value 2384.48, Residual: 0.00567161 
iter =  41, Function value 2384.48, Residual: 0.00134434 
iter =  42, Function value 2384.48, Residual: 0.000583367 
iter =  43, Function value 2384.48, Residual: 7.12414e-05 
iter =  44, Function value 2384.48, Residual: 1.6406e-05 
