iter =   0, Function value 4575.71, Residual: 1815.3 
iter =   1, Function value 4575.71, Residual: 415.143 
iter =   2, Function value 4575.71, Residual: 4965.44 
iter =   3, Function value 4575.71, Residual: 776.707 
iter =   4, Function value 4433.82, Residual: 3399.05 
iter =   5, Function value 4427.81, Residual: 631.878 
iter =   6, Function value 4427.81, Residual: 149.109 
iter =   7, Function value 4427.81, Residual: 54.1215 
iter =   8, Function value 2450.54, Residual: 24.7347 
iter =   9, Function value 2448.98, Residual: 114.295 
iter =  10, Function value 2448.98, Residual: 39.246 
iter =  11, Function value 2445.94, Residual: 129.358 
iter =  12, Function value 2445.94, Residual: 32.3693 
iter =  13, Function value 2433.98, Residual: 125.157 
iter =  14, Function value 2433.98, Residual: 35.1008 
iter =  15, Function value 2404.78, Residual: 1.96764 
iter =  16, Function value 2396.84, Residual: 57.7732 
iter =  17, Function value 2388.45, Residual: 60.2939 
iter =  18, Function value 2388.45, Residual: 23.6384 
iter =  19, Function value 2384.5, Residual: 17.3351 
iter =  20, Function value 2384.5, Residual: 6.73284 
iter =  21, Function value 2384.48, Residual: 2.48299 
iter =  22, Function value 2384.48, Residual: 2.42651 
iter =  23, Function value 2384.48, Residual: 0.0583279 
iter =  24, Function value 2384.48, Residual: 0.00898358 
iter =  25, Function value 2384.48, Residual: 0.00179105 
iter =  26, Function value 2384.48, Residual: 0.000608805 
iter =  27, Function value 2384.48, Residual: 9.41515e-05 
iter =  28, Function value 2384.48, Residual: 4.11902e-05 
iter =  29, Function value 2384.48, Residual: 1.22434e-05 
