iter =   0, Function value 4575.71, Residual: 1815.3 
iter =   1, Function value 4575.71, Residual: 415.143 
iter =   2, Function value 4575.71, Residual: 4965.44 
iter =   3, Function value 4575.71, Residual: 781.894 
iter =   4, Function value 4429.37, Residual: 12530.5 
iter =   5, Function value 4429.37, Residual: 3143.63 
iter =   6, Function value 4429.37, Residual: 789.268 
iter =   7, Function value 3441.87, Residual: 5520.72 
iter =   8, Function value 3441.87, Residual: 1421.04 
iter =   9, Function value 3144.38, Residual: 2611.37 
iter =  10, Function value 2567.11, Residual: 1922.33 
iter =  11, Function value 2426.95, Residual: 227.188 
iter =  12, Function value 2426.95, Residual: 4.47303 
iter =  13, Function value 2426.95, Residual: 0.414494 
iter =  14, Function value 2426.95, Residual: 0.0963003 
iter =  15, Function value 2424.12, Residual: 2.05445 
iter =  16, Function value 2424.12, Residual: 0.5557 
iter =  17, Function value 2415.29, Residual: 0.714947 
iter =  18, Function value 2405.05, Residual: 3.69795 
iter =  19, Function value 2390.55, Residual: 2.36563 
iter =  20, Function value 2384.53, Residual: 21.831 
iter =  21, Function value 2384.51, Residual: 4.56544 
iter =  22, Function value 2384.48, Residual: 0.221722 
iter =  23, Function value 2384.48, Residual: 0.00917397 
iter =  24, Function value 2384.48, Residual: 0.000810538 
iter =  25, Function value 2384.48, Residual: 0.000361852 
iter =  26, Function value 2384.48, Residual: 0.00033356 
iter =  27, Function value 2384.48, Residual: 2.36687e-05
