iter =   0, Function value 4575.71, Residual: Inf 
iter =   1, Function value 4575.71, Residual: 1815.3 
iter =   2, Function value 4575.71, Residual: 4838.21 
iter =   3, Function value 4575.71, Residual: 1330.29 
iter =   4, Function value 3775.94, Residual: 9884.88 
iter =   5, Function value 2435.92, Residual: 7170.07 
iter =   6, Function value 2435.92, Residual: 1297.29 
iter =   7, Function value 2435.92, Residual: 164.325 
iter =   8, Function value 2430.35, Residual: 121.409 
iter =   9, Function value 2430.35, Residual: 40.1368 
iter =  10, Function value 2419.48, Residual: 79.7918 
iter =  11, Function value 2419.48, Residual: 20.6549 
iter =  12, Function value 2417.79, Residual: 3.74133 
iter =  13, Function value 2413.35, Residual: 62.096 
iter =  14, Function value 2399.58, Residual: 878.386 
iter =  15, Function value 2399.58, Residual: 109.212 
iter =  16, Function value 2393.48, Residual: 2512.24 
iter =  17, Function value 2393.48, Residual: 30171.7 
iter =  18, Function value 2385.4, Residual: 68539.3 
iter =  19, Function value 2385.4, Residual: 632.425 
iter =  20, Function value 2385.4, Residual: 38.2483 
iter =  21, Function value 2384.53, Residual: 1.73002 
iter =  22, Function value 2384.48, Residual: 2.32618 
iter =  23, Function value 2384.48, Residual: 0.10781 
iter =  24, Function value 2384.48, Residual: 0.223984 
iter =  25, Function value 2384.48, Residual: 0.0153194 
iter =  26, Function value 2384.48, Residual: 0.000352077 
iter =  27, Function value 2384.48, Residual: 0.0166583 
iter =  28, Function value 2384.48, Residual: 0.00468004 
iter =  29, Function value 2384.48, Residual: 0.00013354 
iter =  30, Function value 2384.48, Residual: 0.000979696 
iter =  31, Function value 2384.48, Residual: 0.00154962 
iter =  32, Function value 2384.48, Residual: 1.68266e-05 
