iter =   0, Function value 4575.71, Residual: 1815.3 
iter =   1, Function value 4575.71, Residual: 415.143 
iter =   2, Function value 4575.71, Residual: 4965.44 
iter =   3, Function value 4575.71, Residual: 776.707 
iter =   4, Function value 4433.82, Residual: 46657.9 
iter =   5, Function value 4433.82, Residual: 11856.5 
iter =   6, Function value 4038.06, Residual: 69796.2 
iter =   7, Function value 2785.75, Residual: 23743.3 
iter =   8, Function value 2459.06, Residual: 8955.94 
iter =   9, Function value 2431.95, Residual: 1292.41 
iter =  10, Function value 2427.76, Residual: 15.6931 
iter =  11, Function value 2427.76, Residual: 13.8856 
iter =  12, Function value 2427.74, Residual: 0.409046 
iter =  13, Function value 2426.29, Residual: 0.239888 
iter =  14, Function value 2423.21, Residual: 0.620879 
iter =  15, Function value 2417.18, Residual: 2.40705 
iter =  16, Function value 2408.34, Residual: 2.33194 
iter =  17, Function value 2405.17, Residual: 29.5408 
iter =  18, Function value 2401., Residual: 192.753 
iter =  19, Function value 2401., Residual: 65.6167 
iter =  20, Function value 2387.47, Residual: 65.2692 
iter =  21, Function value 2387.47, Residual: 19.5863 
iter =  22, Function value 2387.47, Residual: 83.8641 
iter =  23, Function value 2387.47, Residual: 899.891 
iter =  24, Function value 2387.47, Residual: 229.121 
iter =  25, Function value 2387.14, Residual: 764.431 
iter =  26, Function value 2387.14, Residual: 187.282 
iter =  27, Function value 2387.14, Residual: 20.3219 
iter =  28, Function value 2387.14, Residual: 12.5479 
iter =  29, Function value 2387.14, Residual: 1.68091 
iter =  30, Function value 2386.99, Residual: 15.3881 
iter =  31, Function value 2386.83, Residual: 19.8857 
iter =  32, Function value 2386.83, Residual: 5.82656 
iter =  33, Function value 2386.83, Residual: 0.0618724 
iter =  34, Function value 2386.83, Residual: 0.00582641 
iter =  35, Function value 2386.83, Residual: 0.00200624 
iter =  36, Function value 2386.83, Residual: 0.00041247 
iter =  37, Function value 2386.83, Residual: 0.00010625 
iter =  38, Function value 2386.4, Residual: 0.00146983 
iter =  39, Function value 2386.4, Residual: 0.000316184 
iter =  40, Function value 2385.97, Residual: 0.000618849 
iter =  41, Function value 2385.97, Residual: 0.000155673 
iter =  42, Function value 2385.73, Residual: 0.000331071 
iter =  43, Function value 2385.73, Residual: 8.313e-05 
iter =  44, Function value 2385.7, Residual: 0.000308562 
iter =  45, Function value 2385.7, Residual: 7.67466e-05 
iter =  46, Function value 2385.7, Residual: 1.96591e-05 
