  Iteration information for tao_brgn_subsolver_ solve.
  0 TAO,  Function value: 0.00378251,  Residual: 0.00202357 
  1 TAO,  Function value: 0.000319604,  Residual: 0.000106153 
  2 TAO,  Function value: 0.000164344,  Residual: 7.7235e-05 
  3 TAO,  Function value: 4.06226e-05,  Residual: 7.43167e-05 
  4 TAO,  Function value: 3.64804e-05,  Residual: 6.98728e-05 
  5 TAO,  Function value: 1.51096e-05,  Residual: 2.09909e-05 
  6 TAO,  Function value: 6.5641e-06,  Residual: 1.27062e-05 
  7 TAO,  Function value: 4.94489e-06,  Residual: 1.63015e-05 
  8 TAO,  Function value: 3.38879e-06,  Residual: 1.30641e-05 
  9 TAO,  Function value: 2.31922e-06,  Residual: 2.17816e-06 
 10 TAO,  Function value: 2.00697e-06,  Residual: 1.57313e-06 
 11 TAO,  Function value: 1.99648e-06,  Residual: 4.47424e-06 
 12 TAO,  Function value: 1.78331e-06,  Residual: 3.43535e-06 
 13 TAO,  Function value: 1.64963e-06,  Residual: 1.43546e-06 
 14 TAO,  Function value: 1.57995e-06,  Residual: 1.02454e-06 
 15 TAO,  Function value: 1.55901e-06,  Residual: 1.43316e-06 
 16 TAO,  Function value: 1.52058e-06,  Residual: 1.18721e-06 
 17 TAO,  Function value: 1.48773e-06,  Residual: 1.37498e-06 
 18 TAO,  Function value: 1.42378e-06,  Residual: 9.91187e-07 
 19 TAO,  Function value: 1.41634e-06,  Residual: 1.5784e-06 
 20 TAO,  Function value: 1.37857e-06,  Residual: 1.15512e-06 
 21 TAO,  Function value: 1.34968e-06,  Residual: 7.1878e-07 
 22 TAO,  Function value: 1.34742e-06,  Residual: 1.80072e-06 
 23 TAO,  Function value: 1.32908e-06,  Residual: 1.28404e-06 
 24 TAO,  Function value: 1.31155e-06,  Residual: 7.3063e-07 
 25 TAO,  Function value: 1.30101e-06,  Residual: 9.16806e-07 
 26 TAO,  Function value: 1.2931e-06,  Residual: 5.71843e-07 
 27 TAO,  Function value: 1.29135e-06,  Residual: 8.02302e-07 
 28 TAO,  Function value: 1.27922e-06,  Residual: 4.79608e-07 
