  0 TAO,  Function value: 4575.71,  Residual: 1815.3 
  1 TAO,  Function value: 4575.71,  Residual: 415.143 
  2 TAO,  Function value: 4575.71,  Residual: 4965.44 
  3 TAO,  Function value: 4575.71,  Residual: 781.894 
  4 TAO,  Function value: 4429.37,  Residual: 12530.5 
  5 TAO,  Function value: 4429.37,  Residual: 3143.63 
  6 TAO,  Function value: 4429.37,  Residual: 789.268 
  7 TAO,  Function value: 3441.87,  Residual: 5520.72 
  8 TAO,  Function value: 3441.87,  Residual: 1421.04 
  9 TAO,  Function value: 3144.38,  Residual: 2611.37 
 10 TAO,  Function value: 2567.11,  Residual: 1922.33 
 11 TAO,  Function value: 2426.95,  Residual: 227.188 
 12 TAO,  Function value: 2426.95,  Residual: 4.47303 
 13 TAO,  Function value: 2426.95,  Residual: 0.414494 
 14 TAO,  Function value: 2426.95,  Residual: 0.0963003 
 15 TAO,  Function value: 2424.12,  Residual: 2.05445 
 16 TAO,  Function value: 2424.12,  Residual: 0.5557 
 17 TAO,  Function value: 2415.29,  Residual: 0.714947 
 18 TAO,  Function value: 2405.05,  Residual: 3.69795 
 19 TAO,  Function value: 2390.55,  Residual: 2.36563 
 20 TAO,  Function value: 2384.53,  Residual: 21.831 
 21 TAO,  Function value: 2384.51,  Residual: 4.56544 
 22 TAO,  Function value: 2384.48,  Residual: 0.221722 
 23 TAO,  Function value: 2384.48,  Residual: 0.00917397 
 24 TAO,  Function value: 2384.48,  Residual: 0.000810538 
 25 TAO,  Function value: 2384.48,  Residual: 0.000361852 
 26 TAO,  Function value: 2384.48,  Residual: 0.00033356 
 27 TAO,  Function value: 2384.48,  Residual: 2.36687e-05
