  0 TAO,  Function value: 4575.71,  Residual: Inf 
  1 TAO,  Function value: 4575.71,  Residual: 415.165 
  2 TAO,  Function value: 4575.71,  Residual: 4876.19 
  3 TAO,  Function value: 4575.71,  Residual: 767.946 
  4 TAO,  Function value: 4427.67,  Residual: 12955.7 
  5 TAO,  Function value: 4427.67,  Residual: 3260.07 
  6 TAO,  Function value: 4427.67,  Residual: 807.985 
  7 TAO,  Function value: 3390.27,  Residual: 5178.68 
  8 TAO,  Function value: 3390.27,  Residual: 1353.57 
  9 TAO,  Function value: 2972.71,  Residual: 2271.12 
 10 TAO,  Function value: 2491.97,  Residual: 1346.97 
 11 TAO,  Function value: 2426.86,  Residual: 17.098 
 12 TAO,  Function value: 2426.86,  Residual: 2.45828 
 13 TAO,  Function value: 2426.86,  Residual: 0.787074 
 14 TAO,  Function value: 2426.86,  Residual: 0.0870443 
 15 TAO,  Function value: 2422.54,  Residual: 1.76772 
 16 TAO,  Function value: 2422.54,  Residual: 0.652411 
 17 TAO,  Function value: 2414.74,  Residual: 0.555364 
 18 TAO,  Function value: 2404.34,  Residual: 0.710605 
 19 TAO,  Function value: 2390.56,  Residual: 1.19232 
 20 TAO,  Function value: 2384.5,  Residual: 1282.17 
 21 TAO,  Function value: 2384.5,  Residual: 240.318 
 22 TAO,  Function value: 2384.5,  Residual: 215.158 
 23 TAO,  Function value: 2384.5,  Residual: 179.603 
 24 TAO,  Function value: 2384.5,  Residual: 1.44431 
 25 TAO,  Function value: 2384.5,  Residual: 0.769909 
 26 TAO,  Function value: 2384.5,  Residual: 0.276416 
 27 TAO,  Function value: 2384.5,  Residual: 0.00746767
