  1 TAO,  Function value: 4575.71,  Residual: 415.163 
  2 TAO,  Function value: 4575.71,  Residual: 4866.69 
  3 TAO,  Function value: 4575.71,  Residual: 767.439 
  4 TAO,  Function value: 4427.44,  Residual: 3259.19 
  5 TAO,  Function value: 4427.44,  Residual: 612.039 
  6 TAO,  Function value: 4427.44,  Residual: 205.93 
  7 TAO,  Function value: 3206.69,  Residual: 284.234 
  8 TAO,  Function value: 3206.69,  Residual: 82.5165 
  9 TAO,  Function value: 2457.86,  Residual: 62.0417 
 10 TAO,  Function value: 2449.98,  Residual: 226.476 
 11 TAO,  Function value: 2449.98,  Residual: 47.0525 
 12 TAO,  Function value: 2449.58,  Residual: 78.2142 
 13 TAO,  Function value: 2387.41,  Residual: 256.941 
 14 TAO,  Function value: 2385.19,  Residual: 32.0328 
 15 TAO,  Function value: 2384.91,  Residual: 309.625 
 16 TAO,  Function value: 2384.91,  Residual: 37.7759 
 17 TAO,  Function value: 2384.49,  Residual: 10.5968 
 18 TAO,  Function value: 2384.48,  Residual: 12.7888 
 19 TAO,  Function value: 2384.48,  Residual: 5.91591 
 20 TAO,  Function value: 2384.48,  Residual: 0.69426 
 21 TAO,  Function value: 2384.48,  Residual: 0.0084137 
