  0 TAO,  Function value: 4575.71,  Residual: 1815.3 
  1 TAO,  Function value: 4575.71,  Residual: 415.142 
  2 TAO,  Function value: 4575.71,  Residual: 4965.29 
  3 TAO,  Function value: 4575.71,  Residual: 781.869 
  4 TAO,  Function value: 4429.37,  Residual: 12528. 
  5 TAO,  Function value: 4429.37,  Residual: 3143. 
  6 TAO,  Function value: 4429.37,  Residual: 789.108 
  7 TAO,  Function value: 3442.17,  Residual: 5522.26 
  8 TAO,  Function value: 3442.17,  Residual: 1421.26 
  9 TAO,  Function value: 3145.5,  Residual: 2612.97 
 10 TAO,  Function value: 2567.75,  Residual: 1927.7 
 11 TAO,  Function value: 2426.95,  Residual: 224.597 
 12 TAO,  Function value: 2426.95,  Residual: 4.46744 
 13 TAO,  Function value: 2426.95,  Residual: 0.416028 
 14 TAO,  Function value: 2426.95,  Residual: 0.0969179 
 15 TAO,  Function value: 2424.16,  Residual: 2.05005 
 16 TAO,  Function value: 2424.16,  Residual: 0.561186 
 17 TAO,  Function value: 2415.31,  Residual: 0.707035 
 18 TAO,  Function value: 2405.06,  Residual: 3.74928 
 19 TAO,  Function value: 2390.55,  Residual: 2.41832 
 20 TAO,  Function value: 2384.54,  Residual: 21.655 
 21 TAO,  Function value: 2384.51,  Residual: 976.057 
 22 TAO,  Function value: 2384.51,  Residual: 90.2978 
 23 TAO,  Function value: 2384.51,  Residual: 0.78875 
 24 TAO,  Function value: 2384.51,  Residual: 0.0726475 
 25 TAO,  Function value: 2384.51,  Residual: 0.0849665 
 26 TAO,  Function value: 2384.49,  Residual: 0.00898401 
 27 TAO,  Function value: 2384.48,  Residual: 0.176516 
 28 TAO,  Function value: 2384.48,  Residual: 0.0626719 
 29 TAO,  Function value: 2384.48,  Residual: 0.953506 
 30 TAO,  Function value: 2384.48,  Residual: 0.0204153 
 31 TAO,  Function value: 2384.48,  Residual: 1.1678 
 32 TAO,  Function value: 2384.48,  Residual: 0.0447501 
 33 TAO,  Function value: 2384.48,  Residual: 0.142254 
 34 TAO,  Function value: 2384.48,  Residual: 0.0040496 
 35 TAO,  Function value: 2384.48,  Residual: 0.0054089 
 36 TAO,  Function value: 2384.48,  Residual: 0.00256848 
 37 TAO,  Function value: 2384.48,  Residual: 0.000148625 
 38 TAO,  Function value: 2384.48,  Residual: 0.000692487 
 39 TAO,  Function value: 2384.48,  Residual: 4.49517e-05 
 40 TAO,  Function value: 2384.48,  Residual: 1.03778e-06
