  0 TAO,  Function value: 4575.71,  Residual: 1815.3 
  1 TAO,  Function value: 4575.71,  Residual: 415.143 
  2 TAO,  Function value: 4575.71,  Residual: 4965.44 
  3 TAO,  Function value: 4575.71,  Residual: 781.894 
  4 TAO,  Function value: 4429.37,  Residual: 3332.71 
  5 TAO,  Function value: 4429.37,  Residual: 630.656 
  6 TAO,  Function value: 4429.37,  Residual: 206.473 
  7 TAO,  Function value: 3264.37,  Residual: 286.509 
  8 TAO,  Function value: 3264.37,  Residual: 89.9139 
  9 TAO,  Function value: 2455.18,  Residual: 61.621 
 10 TAO,  Function value: 2449.91,  Residual: 223.229 
 11 TAO,  Function value: 2449.91,  Residual: 48.5459 
 12 TAO,  Function value: 2445.86,  Residual: 142.167 
 13 TAO,  Function value: 2409.89,  Residual: 2226.94 
 14 TAO,  Function value: 2409.89,  Residual: 260.83 
 15 TAO,  Function value: 2391.42,  Residual: 247.039 
 16 TAO,  Function value: 2385.17,  Residual: 1422.23 
 17 TAO,  Function value: 2384.73,  Residual: 113.269 
 18 TAO,  Function value: 2384.5,  Residual: 28.9552 
 19 TAO,  Function value: 2384.5,  Residual: 3.307 
 20 TAO,  Function value: 2384.48,  Residual: 0.144758 
 21 TAO,  Function value: 2384.48,  Residual: 0.0521167 
 22 TAO,  Function value: 2384.48,  Residual: 0.00411128 
 23 TAO,  Function value: 2384.48,  Residual: 0.501802 
 24 TAO,  Function value: 2384.48,  Residual: 0.0125091 
 25 TAO,  Function value: 2384.48,  Residual: 0.000635813 
 26 TAO,  Function value: 2384.48,  Residual: 4.62955e-05 
 27 TAO,  Function value: 2384.48,  Residual: 2.92939e-05 
 28 TAO,  Function value: 2384.48,  Residual: 3.88698e-06
