
---- Elastic-Plastic Torsion Problem -----
mx: 16     my: 16   

iter =   0, Function value -0.33218, Residual: 0.623913 
iter =   1, Function value -0.33218, Residual: 0.623913 
iter =   1, Function value -0.378013, Residual: 0.397435 
iter =   2, Function value -0.391112, Residual: 0.559187 
iter =   3, Function value -0.420673, Residual: 0.182559 
iter =   4, Function value -0.420673, Residual: 0.182559 
iter =   4, Function value -0.42547, Residual: 0.120369 
iter =   5, Function value -0.429227, Residual: 0.136443 
iter =   6, Function value -0.431176, Residual: 0.0726518 
iter =   7, Function value -0.431176, Residual: 0.0726518 
iter =   7, Function value -0.432145, Residual: 0.0463715 
iter =   8, Function value -0.433056, Residual: 0.0551169 
iter =   9, Function value -0.43329, Residual: 0.0510099 
iter =  10, Function value -0.43329, Residual: 0.0510099 
iter =  10, Function value -0.43329, Residual: 0.0510099 
iter =  10, Function value -0.433471, Residual: 0.0549112 
iter =  11, Function value -0.43391, Residual: 0.0402026 
iter =  12, Function value -0.434336, Residual: 0.0238933 
iter =  13, Function value -0.434372, Residual: 0.0135193 
iter =  14, Function value -0.434372, Residual: 0.0135193 
iter =  14, Function value -0.434372, Residual: 0.0135193 
iter =  14, Function value -0.434372, Residual: 0.0135193 
iter =  14, Function value -0.434373, Residual: 0.0122243 
iter =  15, Function value -0.434383, Residual: 0.00971076 
iter =  16, Function value -0.434398, Residual: 0.0073763 
iter =  17, Function value -0.434399, Residual: 0.00665785 
iter =  18, Function value -0.434403, Residual: 0.00188029 
iter =  19, Function value -0.434403, Residual: 0.00188029 
iter =  19, Function value -0.434404, Residual: 0.00116396 
iter =  20, Function value -0.434404, Residual: 0.00114518 
iter =  21, Function value -0.434404, Residual: 0.00114518 
iter =  21, Function value -0.434405, Residual: 0.000902874 
iter =  22, Function value -0.434405, Residual: 0.00104365 
iter =  23, Function value -0.434405, Residual: 0.00104365 
iter =  23, Function value -0.434405, Residual: 0.000806112 
iter =  24, Function value -0.434405, Residual: 0.000950317 
iter =  25, Function value -0.434405, Residual: 0.000950317 
iter =  25, Function value -0.434406, Residual: 0.000742874 
iter =  26, Function value -0.434406, Residual: 0.000896362 
iter =  27, Function value -0.434406, Residual: 0.000896362 
iter =  27, Function value -0.434406, Residual: 0.000696322 
iter =  28, Function value -0.434406, Residual: 0.000835939 
iter =  29, Function value -0.434406, Residual: 0.000835939 
iter =  29, Function value -0.434406, Residual: 0.000650756 
iter =  30, Function value -0.434407, Residual: 0.000784913 
iter =  31, Function value -0.434407, Residual: 0.000784913 
iter =  31, Function value -0.434407, Residual: 0.000609734 
iter =  32, Function value -0.434407, Residual: 0.000734816 
iter =  33, Function value -0.434407, Residual: 0.000734816 
iter =  33, Function value -0.434407, Residual: 0.000570718 
iter =  34, Function value -0.434407, Residual: 0.00068894 
iter =  35, Function value -0.434407, Residual: 0.00068894 
iter =  35, Function value -0.434407, Residual: 0.000534452 
iter =  36, Function value -0.434407, Residual: 0.000645494 
iter =  37, Function value -0.434407, Residual: 0.000645494 
iter =  37, Function value -0.434408, Residual: 0.000500356 
iter =  38, Function value -0.434408, Residual: 0.000605001 
iter =  39, Function value -0.434408, Residual: 0.000605001 
iter =  39, Function value -0.434408, Residual: 0.000468481 
iter =  40, Function value -0.434408, Residual: 0.000566993 
iter =  41, Function value -0.434408, Residual: 0.000566993 
iter =  41, Function value -0.434408, Residual: 0.00043862 
iter =  42, Function value -0.434408, Residual: 0.000531448 
iter =  43, Function value -0.434408, Residual: 0.000531448 
iter =  43, Function value -0.434408, Residual: 0.000410688 
iter =  44, Function value -0.434408, Residual: 0.000498164 
iter =  45, Function value -0.434408, Residual: 0.000498164 
iter =  45, Function value -0.434408, Residual: 0.000384558 
iter =  46, Function value -0.434408, Residual: 0.000467025 
iter =  47, Function value -0.434408, Residual: 0.000467025 
iter =  47, Function value -0.434408, Residual: 0.000360128 
iter =  48, Function value -0.434408, Residual: 0.000437891 
iter =  49, Function value -0.434408, Residual: 0.000437891 
iter =  49, Function value -0.434408, Residual: 0.000337291 
iter =  50, Function value -0.434408, Residual: 0.00041064 
