
---- Minimum Surface Area Problem -----
mx: 10     my: 8   

iter =   0, Function value 1.45591, Residual: 0.21372 
iter =   1, Function value 1.42961, Residual: 0.150207 
iter =   2, Function value 1.42325, Residual: 0.14831 
iter =   3, Function value 1.41903, Residual: 0.0820603 
iter =   4, Function value 1.41809, Residual: 0.0357139 
iter =   5, Function value 1.41792, Residual: 0.0208106 
iter =   6, Function value 1.41784, Residual: 0.0155354 
iter =   7, Function value 1.4178, Residual: 0.0136601 
iter =   8, Function value 1.41778, Residual: 0.00799915 
iter =   9, Function value 1.41778, Residual: 0.00463909 
iter =  10, Function value 1.41777, Residual: 0.00285372 
iter =  11, Function value 1.41777, Residual: 0.00287039 
iter =  12, Function value 1.41776, Residual: 0.00370154 
iter =  13, Function value 1.41776, Residual: 0.00220414 
iter =  14, Function value 1.41776, Residual: 0.00222456 
iter =  15, Function value 1.41776, Residual: 0.00294923 
iter =  16, Function value 1.41776, Residual: 0.00261023 
iter =  17, Function value 1.41776, Residual: 0.00187318 
iter =  18, Function value 1.41775, Residual: 0.0026684 
iter =  19, Function value 1.41775, Residual: 0.000966665 
iter =  20, Function value 1.41775, Residual: 0.000641395 
iter =  21, Function value 1.41775, Residual: 0.000535449 
iter =  22, Function value 1.41775, Residual: 0.000391572 
iter =  23, Function value 1.41775, Residual: 0.000234576 
iter =  24, Function value 1.41775, Residual: 0.000157279 
iter =  25, Function value 1.41775, Residual: 0.000188223 
iter =  26, Function value 1.41775, Residual: 4.97724e-05 
iter =  27, Function value 1.41775, Residual: 3.2815e-05 
iter =  28, Function value 1.41775, Residual: 2.51041e-05 
iter =  29, Function value 1.41775, Residual: 2.55785e-05 
iter =  30, Function value 1.41775, Residual: 2.79366e-05 
iter =  31, Function value 1.41775, Residual: 9.24228e-06 
iter =  32, Function value 1.41775, Residual: 7.28052e-06 
iter =  33, Function value 1.41775, Residual: 7.5571e-06 
iter =  34, Function value 1.41775, Residual: 7.19899e-06 
iter =  35, Function value 1.41775, Residual: 4.25114e-06 
iter =  36, Function value 1.41775, Residual: 4.17046e-06 
iter =  37, Function value 1.41775, Residual: 4.65748e-06 
iter =  38, Function value 1.41775, Residual: 2.21233e-06 
iter =  39, Function value 1.41775, Residual: 1.52229e-06 
