% Iteration Error Objective Gradient-norm
history = [
  0 0.07258 0.00526234 0.0077268
  1 0.0604624 0.00365192 0.00541008
  2 0.0176483 0.000310681 0.000908613
  3 0.0158622 0.000250875 0.000771934
  4 0.00717377 5.07049e-05 0.000314984
  5 0.0070702 4.92398e-05 0.000308364
  6 0.00623636 3.82427e-05 0.000246607
  7 0.00538932 2.84945e-05 0.000182633
  8 0.00455642 2.03175e-05 0.00012329
  9 0.00424327 1.76007e-05 0.000104763
 10 0.00411366 1.65357e-05 0.000100753
 11 0.00402184 1.58048e-05 9.84481e-05
 12 0.00379506 1.40787e-05 8.94319e-05
 13 0.00340507 1.13535e-05 6.97485e-05
 14 0.00275082 7.4396e-06 3.89731e-05
 15 0.00211891 4.43431e-06 1.78749e-05
 16 0.00180081 3.20837e-06 1.0884e-05
 17 0.00170398 2.86995e-06 1.02459e-05
 18 0.00163194 2.62907e-06 1.02779e-05
 19 0.0014734 2.13863e-06 9.57902e-06
 20 0.00120584 1.42947e-06 7.24488e-06
 21 0.000849816 7.09535e-07 3.95409e-06
 22 0.000591532 3.44545e-07 2.01666e-06
 23 0.000516734 2.63355e-07 1.56591e-06
 24 0.000502367 2.48838e-07 1.539e-06
 25 0.000488873 2.35553e-07 1.50218e-06
 26 0.000454808 2.0382e-07 1.32162e-06
 27 0.000390247 1.50182e-07 9.18646e-07
 28 0.000291442 8.40026e-08 4.0823e-07
 29 0.000202378 4.06665e-08 1.35577e-07
 30 0.000167584 2.79234e-08 8.57822e-08
 31 0.000159038 2.51303e-08 8.38281e-08
 32 0.000151386 2.27483e-08 8.43232e-08
 33 0.000133875 1.77603e-08 7.75433e-08
 34 0.000105017 1.09071e-08 5.49009e-08
 35 6.87416e-05 4.66544e-09 2.48504e-08
 36 4.46919e-05 1.97095e-09 1.03612e-08
 37 3.86936e-05 1.47743e-09 7.64848e-09
 38 3.75799e-05 1.393e-09 7.54846e-09
 39 3.62939e-05 1.29868e-09 7.34871e-09
 40 3.31617e-05 1.08369e-09 6.34448e-09
 41 2.74765e-05 7.43954e-10 4.2189e-09
 42 1.97005e-05 3.82544e-10 1.88638e-09
 43 1.39459e-05 1.9138e-10 7.8387e-10
 44 1.22887e-05 1.48222e-10 6.25404e-10
 45 1.19291e-05 1.39483e-10 6.44638e-10
 46 1.15091e-05 1.29698e-10 6.52007e-10
 47 1.05043e-05 1.07957e-10 5.99087e-10
 48 8.67784e-06 7.37575e-11 4.30431e-10
 49 6.09213e-06 3.65088e-11 1.9703e-10
 50 4.04165e-06 1.61483e-11 7.0947e-11
];
