
---- Elastic-Plastic Torsion Problem -----
mx: 10     my: 10   

  0 TAO,  Function value: -0.330579,  Residual: 0.728961 
  1 TAO,  Function value: -0.390667,  Residual: 0.428718 
  2 TAO,  Function value: -0.410884,  Residual: 0.245953 
  3 TAO,  Function value: -0.423513,  Residual: 0.196625 
  4 TAO,  Function value: -0.426263,  Residual: 0.0946558 
  5 TAO,  Function value: -0.427593,  Residual: 0.018164 
  6 TAO,  Function value: -0.427652,  Residual: 0.023437 
  7 TAO,  Function value: -0.427667,  Residual: 0.0277179 
  8 TAO,  Function value: -0.427702,  Residual: 0.0211202 
  9 TAO,  Function value: -0.42772,  Residual: 0.0169243 
 10 TAO,  Function value: -0.427743,  Residual: 0.00352644 
 11 TAO,  Function value: -0.427744,  Residual: 0.0017635 
 12 TAO,  Function value: -0.427744,  Residual: 0.00231569 
 13 TAO,  Function value: -0.427745,  Residual: 0.000700499 
