iter = 0,  Function value 1.,  Residual: 2. 
  iter = 0,  Function value 1.,  Residual: 2. 
  iter = 0,  Function value 0.773446,  Residual: 6.07754 
  iter = 1,  Function value 0.685143,  Residual: 1.61524
  iter = 2,  Function value 0.510078,  Residual: 5.2016
  iter = 3,  Function value 0.412676,  Residual: 3.90111
iter = 1,  Function value 0.26474,  Residual: 4.49416
  iter = 0,  Function value 0.26474,  Residual: 4.49416
  iter = 1,  Function value 0.239638,  Residual: 0.701685
  iter = 2,  Function value 0.16141,  Residual: 2.55399
  iter = 3,  Function value 0.104712,  Residual: 4.14598
iter = 2,  Function value 0.0500074,  Residual: 2.03088
  iter = 0,  Function value 0.0500074,  Residual: 2.03088
  iter = 1,  Function value 0.0470127,  Residual: 0.348731
  iter = 2,  Function value 0.0274985,  Residual: 0.856422
  iter = 3,  Function value 0.00713399,  Residual: 0.947858
iter = 3,  Function value 0.00152813,  Residual: 1.16328
  iter = 0,  Function value 0.00152813,  Residual: 1.16328
  iter = 1,  Function value 0.00105747,  Residual: 0.678964
  iter = 2,  Function value 0.000283681,  Residual: 0.0565993
  iter = 3,  Function value 8.4927e-05,  Residual: 0.327912
iter = 4,  Function value 5.08628e-07,  Residual: 0.00776811
  iter = 0,  Function value 5.08628e-07,  Residual: 0.00776811
  iter = 1,  Function value 4.78108e-07,  Residual: 0.000846025
  iter = 2,  Function value 4.77357e-07,  Residual: 0.00088848
  iter = 3,  Function value 4.76609e-07,  Residual: 0.000862203
iter = 5,  Function value 2.85034e-11,  Residual: 0.000237292
  iter = 0,  Function value 2.85034e-11,  Residual: 0.000237292
  iter = 1,  Function value 4.79616e-13,  Residual: 2.70311e-05
