  0 TAO,  Function value: 1.,  Residual: 2. 
  0 TAO,  Function value: 0.770447,  Residual: 5.24792 
  1 TAO,  Function value: 0.526409,  Residual: 3.62426 
  2 TAO,  Function value: 0.357435,  Residual: 5.6789 
  3 TAO,  Function value: 0.213476,  Residual: 2.12473 
  4 TAO,  Function value: 0.15103,  Residual: 8.35263 
  5 TAO,  Function value: 0.0602938,  Residual: 0.498513 
  6 TAO,  Function value: 0.0602938,  Residual: 0.498513 
  6 TAO,  Function value: 0.041723,  Residual: 0.523937 
  7 TAO,  Function value: 0.041723,  Residual: 0.523937 
  7 TAO,  Function value: 0.028602,  Residual: 0.407768 
  8 TAO,  Function value: 0.0265176,  Residual: 6.68143 
  9 TAO,  Function value: 0.00104195,  Residual: 0.0317478 
 10 TAO,  Function value: 9.91125e-05,  Residual: 0.440576 
 11 TAO,  Function value: 1.20761e-08,  Residual: 0.000115019 
 12 TAO,  Function value: 1.44665e-14,  Residual: 5.33164e-06 
