  0 TAO,  Function value: 1.,  Residual: 2. 
  0 TAO,  Function value: 0.770447,  Residual: 5.24792 
  1 TAO,  Function value: 0.526409,  Residual: 3.62426 
  2 TAO,  Function value: 0.357435,  Residual: 5.67889 
  3 TAO,  Function value: 0.213476,  Residual: 2.12473 
  4 TAO,  Function value: 0.15103,  Residual: 8.35262 
  5 TAO,  Function value: 0.0602939,  Residual: 0.498513 
  6 TAO,  Function value: 0.0331258,  Residual: 2.48771 
  7 TAO,  Function value: 0.0119116,  Residual: 1.77387 
  8 TAO,  Function value: 0.00292615,  Residual: 1.00799 
  9 TAO,  Function value: 0.000357211,  Residual: 0.409402 
 10 TAO,  Function value: 1.02571e-05,  Residual: 0.0746265 
 11 TAO,  Function value: 1.26288e-08,  Residual: 0.00275394 
 12 TAO,  Function value: 2.11741e-14,  Residual: 3.45807e-06 
 13 TAO,  Function value: 2.14452e-24,  Residual: 8.17146e-12 
