  0 TAO,  Function value: 1.,  Residual: 2. 
  0 TAO,  Function value: 0.771121,  Residual: 4.77501 
  1 TAO,  Function value: 0.522704,  Residual: 4.89234 
  2 TAO,  Function value: 0.476969,  Residual: 1.20573 
  3 TAO,  Function value: 0.445457,  Residual: 2.86039 
  4 TAO,  Function value: 0.42927,  Residual: 1.19683 
  5 TAO,  Function value: 0.417833,  Residual: 1.92522 
  6 TAO,  Function value: 0.409167,  Residual: 1.23114 
  7 TAO,  Function value: 0.401125,  Residual: 1.59141 
  8 TAO,  Function value: 0.394242,  Residual: 1.30279 
  9 TAO,  Function value: 0.387738,  Residual: 1.35842 
 10 TAO,  Function value: 0.381526,  Residual: 1.43059 
 11 TAO,  Function value: 0.375597,  Residual: 1.18014 
 12 TAO,  Function value: 0.369073,  Residual: 1.70627 
 13 TAO,  Function value: 0.362637,  Residual: 1.02518 
 14 TAO,  Function value: 0.354152,  Residual: 3.27035 
 15 TAO,  Function value: 0.337172,  Residual: 0.912846 
 16 TAO,  Function value: 0.319659,  Residual: 2.6816 
 17 TAO,  Function value: 0.30917,  Residual: 1.24013 
 18 TAO,  Function value: 0.305326,  Residual: 1.02109 
 19 TAO,  Function value: 0.301261,  Residual: 1.37001 
 20 TAO,  Function value: 0.297305,  Residual: 0.929063 
 21 TAO,  Function value: 0.292627,  Residual: 1.62589 
 22 TAO,  Function value: 0.287952,  Residual: 0.838388 
 23 TAO,  Function value: 0.280704,  Residual: 2.71009 
 24 TAO,  Function value: 0.270313,  Residual: 0.755363 
 25 TAO,  Function value: 0.24552,  Residual: 3.4086 
 26 TAO,  Function value: 0.231616,  Residual: 1.04896 
 27 TAO,  Function value: 0.2294,  Residual: 0.830089 
 28 TAO,  Function value: 0.227146,  Residual: 1.08535 
 29 TAO,  Function value: 0.224932,  Residual: 0.794982 
 30 TAO,  Function value: 0.222649,  Residual: 1.12981 
 31 TAO,  Function value: 0.220405,  Residual: 0.761413 
 32 TAO,  Function value: 0.21805,  Residual: 1.18705 
 33 TAO,  Function value: 0.215734,  Residual: 0.728363 
 34 TAO,  Function value: 0.213237,  Residual: 1.26707 
 35 TAO,  Function value: 0.210774,  Residual: 0.694456 
 36 TAO,  Function value: 0.207989,  Residual: 1.39551 
 37 TAO,  Function value: 0.20522,  Residual: 0.657341 
 38 TAO,  Function value: 0.201716,  Residual: 1.66794 
 39 TAO,  Function value: 0.198109,  Residual: 0.611988 
 40 TAO,  Function value: 0.191227,  Residual: 3.20776 
 41 TAO,  Function value: 0.179791,  Residual: 0.622281 
 42 TAO,  Function value: 0.177797,  Residual: 1.19182 
 43 TAO,  Function value: 0.175874,  Residual: 0.630513 
 44 TAO,  Function value: 0.174198,  Residual: 1.05637 
 45 TAO,  Function value: 0.172595,  Residual: 0.634049 
 46 TAO,  Function value: 0.172016,  Residual: 1.87333 
 47 TAO,  Function value: 0.168391,  Residual: 0.912912 
 48 TAO,  Function value: 0.167075,  Residual: 0.643777 
 49 TAO,  Function value: 0.16577,  Residual: 0.909408 
 50 TAO,  Function value: 0.164481,  Residual: 0.634718 
