  0 TAO,  Function value: 1.,  Residual: 2. 
  0 TAO,  Function value: 0.770447,  Residual: 5.24792 
  1 TAO,  Function value: 0.526409,  Residual: 3.62426 
  2 TAO,  Function value: 0.357435,  Residual: 5.6789 
  3 TAO,  Function value: 0.213476,  Residual: 2.12473 
  4 TAO,  Function value: 0.15103,  Residual: 8.35263 
  5 TAO,  Function value: 0.0602938,  Residual: 0.498513 
  6 TAO,  Function value: 0.0602938,  Residual: 0.498513 
  6 TAO,  Function value: 0.0422152,  Residual: 0.981536 
  7 TAO,  Function value: 0.0272106,  Residual: 5.78829 
  8 TAO,  Function value: 0.00376671,  Residual: 0.10481 
  9 TAO,  Function value: 0.00100332,  Residual: 1.37574 
 10 TAO,  Function value: 3.91613e-06,  Residual: 0.00199986 
 11 TAO,  Function value: 1.51399e-09,  Residual: 0.00171541 
 12 TAO,  Function value: 9.23908e-18,  Residual: 3.07593e-09 
