  0 TAO,  Function value: 8.07143,  Residual: 5.73419 
  1 TAO,  Function value: 0.105783,  Residual: 0.612327 
  2 TAO,  Function value: 0.00378821,  Residual: 0.117255 
  3 TAO,  Function value: 2.22557e-05,  Residual: 0.00902099 
  4 TAO,  Function value: 2.81093e-07,  Residual: 0.00105585 
  5 TAO,  Function value: 3.54922e-09,  Residual: 0.000121173 
  6 TAO,  Function value: 3.16033e-11,  Residual: 9.95371e-06 
  7 TAO,  Function value: 1.47835e-12,  Residual: 2.10974e-06 
  8 TAO,  Function value: 7.10069e-15,  Residual: 1.66362e-07 
  9 TAO,  Function value: 6.46783e-16,  Residual: 5.26313e-08 
 10 TAO,  Function value: 1.11878e-17,  Residual: 5.69632e-09 
