  0 TAO,  Function value: 8.48202,  Residual: 7.02449 
  1 TAO,  Function value: 1.72589,  Residual: 2.46827 
  2 TAO,  Function value: 0.545964,  Residual: 1.87547 
  3 TAO,  Function value: 0.15082,  Residual: 0.587522 
  4 TAO,  Function value: 0.0874502,  Residual: 0.383306 
  5 TAO,  Function value: 0.0200017,  Residual: 0.266362 
  6 TAO,  Function value: 0.0054394,  Residual: 0.130965 
  7 TAO,  Function value: 0.000419494,  Residual: 0.0322695 
  8 TAO,  Function value: 8.41771e-05,  Residual: 0.0153106 
  9 TAO,  Function value: 1.32255e-05,  Residual: 0.00656382 
 10 TAO,  Function value: 5.73206e-06,  Residual: 0.00533831 
 11 TAO,  Function value: 1.84389e-06,  Residual: 0.00150043 
 12 TAO,  Function value: 1.04774e-06,  Residual: 0.00107057 
 13 TAO,  Function value: 2.36323e-07,  Residual: 0.000700452 
 14 TAO,  Function value: 6.73622e-08,  Residual: 0.000590985 
 15 TAO,  Function value: 4.52606e-08,  Residual: 0.000494689 
 16 TAO,  Function value: 1.03623e-08,  Residual: 0.000100758 
 17 TAO,  Function value: 6.72302e-09,  Residual: 6.96341e-05 
 18 TAO,  Function value: 1.30844e-09,  Residual: 4.37644e-05 
 19 TAO,  Function value: 4.90801e-10,  Residual: 4.9652e-05 
 20 TAO,  Function value: 1.25743e-10,  Residual: 2.0706e-05 
 21 TAO,  Function value: 4.19682e-11,  Residual: 6.49102e-06 
 22 TAO,  Function value: 1.88494e-11,  Residual: 3.80051e-06 
 23 TAO,  Function value: 4.52905e-12,  Residual: 3.23444e-06 
 24 TAO,  Function value: 3.72371e-12,  Residual: 4.13352e-06 
 25 TAO,  Function value: 7.02821e-13,  Residual: 9.21019e-07 
 26 TAO,  Function value: 3.57222e-13,  Residual: 6.5455e-07 
 27 TAO,  Function value: 2.6583e-13,  Residual: 6.27181e-07 
 28 TAO,  Function value: 2.18568e-13,  Residual: 5.65819e-07 
 29 TAO,  Function value: 1.9449e-13,  Residual: 5.48966e-07 
 30 TAO,  Function value: 1.76462e-13,  Residual: 5.12335e-07 
 31 TAO,  Function value: 1.66127e-13,  Residual: 4.97949e-07 
 32 TAO,  Function value: 1.56839e-13,  Residual: 4.82771e-07 
 33 TAO,  Function value: 1.54674e-13,  Residual: 4.78564e-07 
 34 TAO,  Function value: 1.45633e-13,  Residual: 4.59189e-07 
 35 TAO,  Function value: 1.35523e-13,  Residual: 4.34582e-07 
 36 TAO,  Function value: 1.19626e-13,  Residual: 3.9319e-07 
 37 TAO,  Function value: 1.03029e-13,  Residual: 3.61198e-07 
 38 TAO,  Function value: 8.68569e-14,  Residual: 3.35249e-07 
 39 TAO,  Function value: 8.05964e-14,  Residual: 3.14467e-07 
 40 TAO,  Function value: 7.47138e-14,  Residual: 2.92582e-07 
 41 TAO,  Function value: 6.38218e-14,  Residual: 2.7583e-07 
 42 TAO,  Function value: 5.89195e-14,  Residual: 2.55441e-07 
 43 TAO,  Function value: 5.31931e-14,  Residual: 2.41884e-07 
 44 TAO,  Function value: 4.46415e-14,  Residual: 2.18678e-07 
 45 TAO,  Function value: 4.33001e-14,  Residual: 2.14814e-07 
 46 TAO,  Function value: 4.12745e-14,  Residual: 2.07997e-07 
 47 TAO,  Function value: 3.95252e-14,  Residual: 2.01452e-07 
 48 TAO,  Function value: 3.81142e-14,  Residual: 1.96628e-07 
 49 TAO,  Function value: 3.56439e-14,  Residual: 1.89803e-07 
 50 TAO,  Function value: 3.36967e-14,  Residual: 1.8553e-07 
 51 TAO,  Function value: 3.26554e-14,  Residual: 1.81221e-07 
 52 TAO,  Function value: 3.17683e-14,  Residual: 1.80556e-07 
 53 TAO,  Function value: 3.09686e-14,  Residual: 1.7686e-07 
 54 TAO,  Function value: 3.04493e-14,  Residual: 1.74845e-07 
 55 TAO,  Function value: 2.99547e-14,  Residual: 1.72711e-07 
 56 TAO,  Function value: 2.94864e-14,  Residual: 1.70103e-07 
 57 TAO,  Function value: 2.88736e-14,  Residual: 1.67867e-07 
 58 TAO,  Function value: 2.80007e-14,  Residual: 1.66275e-07 
 59 TAO,  Function value: 2.72254e-14,  Residual: 1.64164e-07 
 60 TAO,  Function value: 2.67436e-14,  Residual: 1.61472e-07 
 61 TAO,  Function value: 2.58777e-14,  Residual: 1.57799e-07 
 62 TAO,  Function value: 2.53523e-14,  Residual: 1.55165e-07 
 63 TAO,  Function value: 2.48315e-14,  Residual: 1.5332e-07 
 64 TAO,  Function value: 2.44982e-14,  Residual: 1.52401e-07 
 65 TAO,  Function value: 2.40587e-14,  Residual: 1.50857e-07 
 66 TAO,  Function value: 2.37009e-14,  Residual: 1.49334e-07 
 67 TAO,  Function value: 2.34892e-14,  Residual: 1.48359e-07 
 68 TAO,  Function value: 2.31915e-14,  Residual: 1.47102e-07 
 69 TAO,  Function value: 2.29742e-14,  Residual: 1.4597e-07 
 70 TAO,  Function value: 2.26651e-14,  Residual: 1.44821e-07 
 71 TAO,  Function value: 2.23633e-14,  Residual: 1.45782e-07 
 72 TAO,  Function value: 2.20488e-14,  Residual: 1.43891e-07 
 73 TAO,  Function value: 2.14043e-14,  Residual: 1.40636e-07 
 74 TAO,  Function value: 2.11687e-14,  Residual: 1.39837e-07 
 75 TAO,  Function value: 2.10069e-14,  Residual: 1.3897e-07 
 76 TAO,  Function value: 2.07368e-14,  Residual: 1.37627e-07 
 77 TAO,  Function value: 2.06897e-14,  Residual: 1.37334e-07 
 78 TAO,  Function value: 2.06371e-14,  Residual: 1.37045e-07 
 79 TAO,  Function value: 2.05655e-14,  Residual: 1.36655e-07 
 80 TAO,  Function value: 2.05267e-14,  Residual: 1.36496e-07 
 81 TAO,  Function value: 2.03559e-14,  Residual: 1.3593e-07 
 82 TAO,  Function value: 2.02793e-14,  Residual: 1.35458e-07 
 83 TAO,  Function value: 2.01674e-14,  Residual: 1.34957e-07 
 84 TAO,  Function value: 2.00465e-14,  Residual: 1.3426e-07 
 85 TAO,  Function value: 1.97098e-14,  Residual: 1.32942e-07 
 86 TAO,  Function value: 1.95481e-14,  Residual: 1.32124e-07 
 87 TAO,  Function value: 1.93431e-14,  Residual: 1.30764e-07 
 88 TAO,  Function value: 1.91798e-14,  Residual: 1.3e-07 
 89 TAO,  Function value: 1.91186e-14,  Residual: 1.29771e-07 
 90 TAO,  Function value: 1.89212e-14,  Residual: 1.28839e-07 
 91 TAO,  Function value: 1.86324e-14,  Residual: 1.2804e-07 
 92 TAO,  Function value: 1.85555e-14,  Residual: 1.27274e-07 
 93 TAO,  Function value: 1.82715e-14,  Residual: 1.258e-07 
 94 TAO,  Function value: 1.80781e-14,  Residual: 1.24914e-07 
 95 TAO,  Function value: 1.78462e-14,  Residual: 1.23726e-07 
 96 TAO,  Function value: 1.74952e-14,  Residual: 1.21664e-07 
 97 TAO,  Function value: 1.72855e-14,  Residual: 1.21533e-07 
 98 TAO,  Function value: 1.71833e-14,  Residual: 1.20916e-07 
 99 TAO,  Function value: 1.70862e-14,  Residual: 1.20406e-07 
100 TAO,  Function value: 1.69764e-14,  Residual: 1.19938e-07 
101 TAO,  Function value: 1.68865e-14,  Residual: 1.19416e-07 
102 TAO,  Function value: 1.6728e-14,  Residual: 1.18381e-07 
103 TAO,  Function value: 1.65782e-14,  Residual: 1.17582e-07 
104 TAO,  Function value: 1.64628e-14,  Residual: 1.17006e-07 
105 TAO,  Function value: 1.61877e-14,  Residual: 1.1552e-07 
106 TAO,  Function value: 1.60757e-14,  Residual: 1.15091e-07 
107 TAO,  Function value: 1.59169e-14,  Residual: 1.14353e-07 
108 TAO,  Function value: 1.57577e-14,  Residual: 1.13342e-07 
109 TAO,  Function value: 1.56938e-14,  Residual: 1.13077e-07 
110 TAO,  Function value: 1.56191e-14,  Residual: 1.1265e-07 
111 TAO,  Function value: 1.56086e-14,  Residual: 1.12534e-07 
112 TAO,  Function value: 1.55063e-14,  Residual: 1.11922e-07 
113 TAO,  Function value: 1.54768e-14,  Residual: 1.11744e-07 
114 TAO,  Function value: 1.53145e-14,  Residual: 1.11245e-07 
115 TAO,  Function value: 1.52744e-14,  Residual: 1.10979e-07 
116 TAO,  Function value: 1.51801e-14,  Residual: 1.10414e-07 
117 TAO,  Function value: 1.50412e-14,  Residual: 1.09667e-07 
118 TAO,  Function value: 1.49062e-14,  Residual: 1.09053e-07 
119 TAO,  Function value: 1.48162e-14,  Residual: 1.08611e-07 
120 TAO,  Function value: 1.47721e-14,  Residual: 1.08381e-07 
121 TAO,  Function value: 1.46518e-14,  Residual: 1.07813e-07 
122 TAO,  Function value: 1.45776e-14,  Residual: 1.07229e-07 
123 TAO,  Function value: 1.44956e-14,  Residual: 1.06721e-07 
124 TAO,  Function value: 1.43848e-14,  Residual: 1.06244e-07 
125 TAO,  Function value: 1.42383e-14,  Residual: 1.046e-07 
126 TAO,  Function value: 1.40803e-14,  Residual: 1.03286e-07 
127 TAO,  Function value: 1.4035e-14,  Residual: 1.03083e-07 
128 TAO,  Function value: 1.40191e-14,  Residual: 1.02996e-07 
129 TAO,  Function value: 1.38759e-14,  Residual: 1.02775e-07 
