timestep 0: time 0, solution norm 1.9391
timestep 1: time 0.01, solution norm 1.16241
timestep 2: time 0.02, solution norm 0.828933
timestep 3: time 0.03, solution norm 0.648333
timestep 4: time 0.04, solution norm 0.528016
timestep 5: time 0.05, solution norm 0.437213
timestep 6: time 0.06, solution norm 0.364461
timestep 7: time 0.07, solution norm 0.304643
timestep 8: time 0.08, solution norm 0.254926
timestep 9: time 0.09, solution norm 0.21342
timestep 10: time 0.1, solution norm 0.178705
timestep 11: time 0.11, solution norm 0.149648
timestep 12: time 0.12, solution norm 0.12532
timestep 13: time 0.13, solution norm 0.104948
timestep 14: time 0.14, solution norm 0.0878888
timestep 15: time 0.15, solution norm 0.0736024
timestep 16: time 0.16, solution norm 0.0616383
timestep 17: time 0.17, solution norm 0.0516189
timestep 18: time 0.18, solution norm 0.0432283
timestep 19: time 0.19, solution norm 0.0362015
timestep 20: time 0.2, solution norm 0.030317
timestep 21: time 0.21, solution norm 0.025389
timestep 22: time 0.22, solution norm 0.021262
timestep 23: time 0.23, solution norm 0.0178058
timestep 24: time 0.24, solution norm 0.0149115
timestep 25: time 0.25, solution norm 0.0124876
timestep 26: time 0.26, solution norm 0.0104578
timestep 27: time 0.27, solution norm 0.00875787
timestep 28: time 0.28, solution norm 0.00733428
timestep 29: time 0.29, solution norm 0.00614209
timestep 30: time 0.3, solution norm 0.00514369
timestep 31: time 0.31, solution norm 0.00430759
timestep 32: time 0.32, solution norm 0.00360739
timestep 33: time 0.33, solution norm 0.00302101
timestep 34: time 0.34, solution norm 0.00252994
timestep 35: time 0.35, solution norm 0.0021187
timestep 36: time 0.36, solution norm 0.00177431
timestep 37: time 0.37, solution norm 0.00148589
timestep 38: time 0.38, solution norm 0.00124436
timestep 39: time 0.39, solution norm 0.00104209
timestep 40: time 0.4, solution norm 0.000872699
timestep 41: time 0.41, solution norm 0.000730842
timestep 42: time 0.42, solution norm 0.000612044
timestep 43: time 0.43, solution norm 0.000512556
timestep 44: time 0.44, solution norm 0.00042924
timestep 45: time 0.45, solution norm 0.000359467
timestep 46: time 0.46, solution norm 0.000301036
timestep 47: time 0.47, solution norm 0.000252102
timestep 48: time 0.48, solution norm 0.000211123
timestep 49: time 0.49, solution norm 0.000176805
timestep 50: time 0.5, solution norm 0.000148065
timestep 51: time 0.51, solution norm 0.000123997
timestep 52: time 0.52, solution norm 0.000103842
timestep 53: time 0.53, solution norm 8.69622e-05
timestep 54: time 0.54, solution norm 7.28265e-05
timestep 55: time 0.55, solution norm 6.09886e-05
timestep 56: time 0.56, solution norm 5.10749e-05
timestep 57: time 0.57, solution norm 4.27727e-05
timestep 58: time 0.58, solution norm 3.582e-05
timestep 59: time 0.59, solution norm 2.99974e-05
timestep 60: time 0.6, solution norm 2.51214e-05
timestep 61: time 0.61, solution norm 2.10379e-05
timestep 62: time 0.62, solution norm 1.76182e-05
timestep 63: time 0.63, solution norm 1.47543e-05
timestep 64: time 0.64, solution norm 1.2356e-05
timestep 65: time 0.65, solution norm 1.03476e-05
timestep 66: time 0.66, solution norm 8.66556e-06
timestep 67: time 0.67, solution norm 7.25698e-06
timestep 68: time 0.68, solution norm 6.07735e-06
timestep 69: time 0.69, solution norm 5.08948e-06
timestep 70: time 0.7, solution norm 4.26219e-06
timestep 71: time 0.71, solution norm 3.56937e-06
timestep 72: time 0.72, solution norm 2.98917e-06
timestep 73: time 0.73, solution norm 2.50328e-06
timestep 74: time 0.74, solution norm 2.09637e-06
timestep 75: time 0.75, solution norm 1.75561e-06
timestep 76: time 0.76, solution norm 1.47023e-06
timestep 77: time 0.77, solution norm 1.23125e-06
timestep 78: time 0.78, solution norm 1.03111e-06
timestep 79: time 0.79, solution norm 8.63501e-07
timestep 80: time 0.8, solution norm 7.23139e-07
timestep 81: time 0.81, solution norm 6.05593e-07
timestep 82: time 0.82, solution norm 5.07154e-07
timestep 83: time 0.83, solution norm 4.24716e-07
timestep 84: time 0.84, solution norm 3.55678e-07
timestep 85: time 0.85, solution norm 2.97863e-07
timestep 86: time 0.86, solution norm 2.49445e-07
timestep 87: time 0.87, solution norm 2.08898e-07
timestep 88: time 0.88, solution norm 1.74942e-07
timestep 89: time 0.89, solution norm 1.46505e-07
timestep 90: time 0.9, solution norm 1.22691e-07
timestep 91: time 0.91, solution norm 1.02747e-07
timestep 92: time 0.92, solution norm 8.60456e-08
timestep 93: time 0.93, solution norm 7.20589e-08
timestep 94: time 0.94, solution norm 6.03458e-08
timestep 95: time 0.95, solution norm 5.05366e-08
timestep 96: time 0.96, solution norm 4.23218e-08
timestep 97: time 0.97, solution norm 3.54424e-08
timestep 98: time 0.98, solution norm 2.96813e-08
timestep 99: time 0.99, solution norm 2.48566e-08
timestep 100: time 1, solution norm 2.08161e-08
WARNING! There are options you set that were not used!
WARNING! could be spelling mistake, etc!
Option left: name:-max_steps value: 5
