Solving ODE "hull1972a3" with dt 0.010000, final time 5.000000 and system size 1.
      TSAdapt glee glee 0:35 step   0 accepted t=0          + 1.000e-02 dt=1.000e-01  wlte=1.44e-06  wltea=2.89e-06 wlter=2.86e-06
      TSAdapt glee glee 0:35 step   1 accepted t=0.01       + 1.000e-01 dt=2.296e-01  wlte=0.0112  wltea=0.0236 wlter=0.0212
      TSAdapt glee glee 0:35 step   2 accepted t=0.11       + 2.296e-01 dt=3.604e-01  wlte=0.0451  wltea=0.108 wlter=0.0774
      TSAdapt glee glee 0:35 step   3 rejected t=0.33956    + 3.604e-01 dt=1.899e-01  wlte= 2.93  wltea= 8.52 wlter= 4.47
      TSAdapt glee glee 0:35 step   3 accepted t=0.33956    + 1.899e-01 dt=2.195e-01  wlte=0.138  wltea=0.367 wlter=0.222
      TSAdapt glee glee 0:35 step   4 rejected t=0.529423   + 2.195e-01 dt=1.604e-01  wlte=0.773  wltea=  2.3 wlter= 1.16
      TSAdapt glee glee 0:35 step   4 accepted t=0.529423   + 1.604e-01 dt=1.473e-01  wlte=0.319  wltea=0.923 wlter=0.488
      TSAdapt glee glee 0:35 step   5 rejected t=0.689836   + 1.473e-01 dt=1.196e-01  wlte=0.487  wltea= 1.51 wlter=0.719
      TSAdapt glee glee 0:35 step   5 rejected t=0.689836   + 1.196e-01 dt=1.025e-01  wlte=0.397  wltea= 1.22 wlter=0.589
      TSAdapt glee glee 0:35 step   5 rejected t=0.689836   + 1.025e-01 dt=8.995e-02  wlte=0.364  wltea= 1.11 wlter=0.543
      TSAdapt glee glee 0:35 step   5 rejected t=0.689836   + 8.995e-02 dt=7.993e-02  wlte=0.348  wltea= 1.05 wlter=0.521
      TSAdapt glee glee 0:35 step   5 rejected t=0.689836   + 7.993e-02 dt=7.157e-02  wlte= 0.34  wltea= 1.02 wlter=0.509
      TSAdapt glee glee 0:35 step   5 accepted t=0.689836   + 7.157e-02 dt=6.442e-02  wlte=0.334  wltea=    1 wlter=0.502
      TSAdapt glee glee 0:35 step   6 rejected t=0.761409   + 6.442e-02 dt=5.707e-02  wlte=0.345  wltea= 1.07 wlter=0.511
      TSAdapt glee glee 0:35 step   6 rejected t=0.761409   + 5.707e-02 dt=5.070e-02  wlte=0.342  wltea= 1.05 wlter=0.507
      TSAdapt glee glee 0:35 step   6 rejected t=0.761409   + 5.070e-02 dt=4.514e-02  wlte= 0.34  wltea= 1.04 wlter=0.505
      TSAdapt glee glee 0:35 step   6 rejected t=0.761409   + 4.514e-02 dt=4.026e-02  wlte=0.339  wltea= 1.04 wlter=0.504
      TSAdapt glee glee 0:35 step   6 rejected t=0.761409   + 4.026e-02 dt=3.595e-02  wlte=0.338  wltea= 1.03 wlter=0.503
      TSAdapt glee glee 0:35 step   6 rejected t=0.761409   + 3.595e-02 dt=3.213e-02  wlte=0.338  wltea= 1.03 wlter=0.503
      TSAdapt glee glee 0:35 step   6 rejected t=0.761409   + 3.213e-02 dt=2.874e-02  wlte=0.337  wltea= 1.02 wlter=0.502
      TSAdapt glee glee 0:35 step   6 rejected t=0.761409   + 2.874e-02 dt=2.573e-02  wlte=0.337  wltea= 1.02 wlter=0.502
      TSAdapt glee glee 0:35 step   6 rejected t=0.761409   + 2.573e-02 dt=2.305e-02  wlte=0.336  wltea= 1.02 wlter=0.502
      TSAdapt glee glee 0:35 step   6 rejected t=0.761409   + 2.305e-02 dt=2.066e-02  wlte=0.336  wltea= 1.02 wlter=0.502
      TSAdapt glee glee 0:35 step   6 rejected t=0.761409   + 2.066e-02 dt=1.852e-02  wlte=0.336  wltea= 1.02 wlter=0.502
      TSAdapt glee glee 0:35 step   6 rejected t=0.761409   + 1.852e-02 dt=1.661e-02  wlte=0.336  wltea= 1.01 wlter=0.502
      TSAdapt glee glee 0:35 step   6 rejected t=0.761409   + 1.661e-02 dt=1.491e-02  wlte=0.335  wltea= 1.01 wlter=0.502
      TSAdapt glee glee 0:35 step   6 rejected t=0.761409   + 1.491e-02 dt=1.338e-02  wlte=0.335  wltea= 1.01 wlter=0.502
      TSAdapt glee glee 0:35 step   6 rejected t=0.761409   + 1.338e-02 dt=1.201e-02  wlte=0.335  wltea= 1.01 wlter=0.502
      TSAdapt glee glee 0:35 step   6 rejected t=0.761409   + 1.201e-02 dt=1.079e-02  wlte=0.335  wltea= 1.01 wlter=0.502
      TSAdapt glee glee 0:35 step   6 rejected t=0.761409   + 1.079e-02 dt=9.692e-03  wlte=0.335  wltea= 1.01 wlter=0.502
      TSAdapt glee glee 0:35 step   6 rejected t=0.761409   + 9.692e-03 dt=8.708e-03  wlte=0.335  wltea= 1.01 wlter=0.502
      TSAdapt glee glee 0:35 step   6 rejected t=0.761409   + 8.708e-03 dt=7.825e-03  wlte=0.335  wltea= 1.01 wlter=0.502
      TSAdapt glee glee 0:35 step   6 rejected t=0.761409   + 7.825e-03 dt=7.032e-03  wlte=0.335  wltea= 1.01 wlter=0.502
      TSAdapt glee glee 0:35 step   6 rejected t=0.761409   + 7.032e-03 dt=6.321e-03  wlte=0.335  wltea= 1.01 wlter=0.502
      TSAdapt glee glee 0:35 step   6 rejected t=0.761409   + 6.321e-03 dt=5.683e-03  wlte=0.335  wltea=    1 wlter=0.502
      TSAdapt glee glee 0:35 step   6 rejected t=0.761409   + 5.683e-03 dt=5.109e-03  wlte=0.334  wltea=    1 wlter=0.502
      TSAdapt glee glee 0:35 step   6 rejected t=0.761409   + 5.109e-03 dt=4.594e-03  wlte=0.334  wltea=    1 wlter=0.502
      TSAdapt glee glee 0:35 step   6 rejected t=0.761409   + 4.594e-03 dt=4.131e-03  wlte=0.334  wltea=    1 wlter=0.502
      TSAdapt glee glee 0:35 step   6 rejected t=0.761409   + 4.131e-03 dt=3.716e-03  wlte=0.334  wltea=    1 wlter=0.502
      TSAdapt glee glee 0:35 step   6 rejected t=0.761409   + 3.716e-03 dt=3.342e-03  wlte=0.334  wltea=    1 wlter=0.502
      TSAdapt glee glee 0:35 step   6 rejected t=0.761409   + 3.342e-03 dt=3.006e-03  wlte=0.334  wltea=    1 wlter=0.502
      TSAdapt glee glee 0:35 step   6 rejected t=0.761409   + 3.006e-03 dt=2.704e-03  wlte=0.334  wltea=    1 wlter=0.502
      TSAdapt glee glee 0:35 step   6 rejected t=0.761409   + 2.704e-03 dt=2.432e-03  wlte=0.334  wltea=    1 wlter=0.502
      TSAdapt glee glee 0:35 step   6 rejected t=0.761409   + 2.432e-03 dt=2.188e-03  wlte=0.334  wltea=    1 wlter=0.502
      TSAdapt glee glee 0:35 step   6 rejected t=0.761409   + 2.188e-03 dt=1.969e-03  wlte=0.334  wltea=    1 wlter=0.502
      TSAdapt glee glee 0:35 step   6 rejected t=0.761409   + 1.969e-03 dt=1.771e-03  wlte=0.334  wltea=    1 wlter=0.502
      TSAdapt glee glee 0:35 step   6 rejected t=0.761409   + 1.771e-03 dt=1.594e-03  wlte=0.334  wltea=    1 wlter=0.502
      TSAdapt glee glee 0:35 step   6 rejected t=0.761409   + 1.594e-03 dt=1.434e-03  wlte=0.334  wltea=    1 wlter=0.502
      TSAdapt glee glee 0:35 step   6 rejected t=0.761409   + 1.434e-03 dt=1.290e-03  wlte=0.334  wltea=    1 wlter=0.502
      TSAdapt glee glee 0:35 step   6 rejected t=0.761409   + 1.290e-03 dt=1.161e-03  wlte=0.334  wltea=    1 wlter=0.502
      TSAdapt glee glee 0:35 step   6 rejected t=0.761409   + 1.161e-03 dt=1.045e-03  wlte=0.334  wltea=    1 wlter=0.502
      TSAdapt glee glee 0:35 step   6 rejected t=0.761409   + 1.045e-03 dt=9.400e-04  wlte=0.334  wltea=    1 wlter=0.502
      TSAdapt glee glee 0:35 step   6 rejected t=0.761409   + 9.400e-04 dt=8.458e-04  wlte=0.334  wltea=    1 wlter=0.502
      TSAdapt glee glee 0:35 step   6 rejected t=0.761409   + 8.458e-04 dt=7.612e-04  wlte=0.334  wltea=    1 wlter=0.502
